NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score,coach
GBR,Tennis,2024,0,0,0,0,11,0,1
GBR,Tennis,2020,0,0,0,0,6,0,0
GBR,Tennis,2016,1,0,0,1,14,10,0
GBR,Tennis,2012,1,2,0,3,15,26,0
GBR,Tennis,2008,0,0,0,0,3,0,0
GBR,Tennis,2004,0,0,0,0,1,0,0
GBR,Tennis,2000,0,0,0,0,7,0,0
GBR,Tennis,1996,0,2,0,2,7,16,0
GBR,Tennis,1992,0,0,0,0,9,0,0
GBR,Tennis,1988,0,0,0,0,8,0,0
GBR,Tennis,1924,0,2,3,5,20,37,0
GBR,Tennis,1920,4,5,1,10,24,87,0
GBR,Tennis,1912,3,3,3,9,25,75,0
GBR,Tennis,1908,8,7,5,20,38,171,0
GBR,Tennis,1900,6,2,6,14,16,118,0
GBR,Tennis,1896,2,0,1,3,4,27,0
GBR,Tennis,2028,0,0,0,0,11,0,1
GBR,Tennis,2032,0,0,0,0,11,0,1
GBR,Tennis,2036,0,0,0,0,11,0,1
GBR,Tennis,2040,0,0,0,0,11,0,1
GBR,Tennis,2044,0,0,0,0,11,0,1
GBR,Tennis,2048,0,0,0,0,11,0,1
