NOC,Sport,Event,athletes_number,gold_number,silver_number,bronze_number,total_number,Total Events,Year,gold_number_previous,silver_number_previous,bronze_number_previous,total_number_previous,Host,gold_sum,silver_sum,bronze_sum,total_sum
AFG,Athletics,Athletics Men's 100 metres,1,0,0,0,0,4,1936,0.0,0.0,0.0,0.0,0,0,0,0,0
AFG,Athletics,Athletics Men's Long Jump,1,0,0,0,0,4,1936,0.0,0.0,0.0,0.0,0,0,0,0,0
AFG,Athletics,Athletics Men's Shot Put,1,0,0,0,0,4,1936,0.0,0.0,0.0,0.0,0,0,0,0,0
AFG,Hockey,Hockey Men's Hockey,13,0,0,0,0,4,1936,0.0,0.0,0.0,0.0,0,0,0,0,0
ARG,Athletics,"Athletics Men's 10,000 metres",1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Athletics,Athletics Men's 100 metres,3,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Athletics,Athletics Men's 110 metres Hurdles,1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Athletics,Athletics Men's 200 metres,3,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Athletics,Athletics Men's 4 x 100 metres Relay,4,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Athletics,Athletics Men's 400 metres,1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Athletics,Athletics Men's 400 metres Hurdles,1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Athletics,Athletics Men's 800 metres,1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Athletics,Athletics Men's Marathon,2,0,0,0,0,31,1936,1.0,0.0,0.0,1.0,0,5,2,4,11
ARG,Boxing,Boxing Men's Bantamweight,1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Boxing,Boxing Men's Featherweight,1,1,0,0,1,31,1936,1.0,0.0,0.0,1.0,0,5,2,4,11
ARG,Boxing,Boxing Men's Flyweight,1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Boxing,Boxing Men's Heavyweight,1,0,1,0,1,31,1936,1.0,0.0,0.0,1.0,0,5,2,4,11
ARG,Boxing,Boxing Men's Light-Heavyweight,1,0,0,1,1,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Boxing,Boxing Men's Lightweight,1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Boxing,Boxing Men's Middleweight,1,0,0,1,1,31,1936,0.0,1.0,0.0,1.0,0,5,2,4,11
ARG,Boxing,Boxing Men's Welterweight,1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Fencing,"Fencing Men's Foil, Individual",3,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Fencing,"Fencing Men's Foil, Team",6,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Fencing,"Fencing Men's Sabre, Individual",3,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Fencing,"Fencing Men's epee, Individual",2,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Fencing,"Fencing Men's epee, Team",5,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Polo,Polo Men's Polo,4,4,0,0,4,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Rowing,Rowing Men's Coxless Pairs,2,0,0,2,2,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Rowing,Rowing Men's Single Sculls,1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Sailing,Sailing Mixed 6 metres,5,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Sailing,Sailing Mixed 8 metres,6,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Shooting,"Shooting Men's Free Pistol, 50 metres",2,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",2,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1,0,0,0,0,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
ARG,Swimming,Swimming Women's 100 metres Freestyle,1,0,1,0,1,31,1936,0.0,0.0,0.0,0.0,0,5,2,4,11
AUS,Athletics,"Athletics Men's 1,500 metres",1,0,0,0,0,26,1936,0.0,0.0,0.0,0.0,0,0,0,1,1
AUS,Athletics,Athletics Men's 110 metres Hurdles,1,0,0,0,0,26,1936,0.0,0.0,0.0,0.0,0,0,0,1,1
AUS,Athletics,Athletics Men's 400 metres Hurdles,1,0,0,0,0,26,1936,0.0,0.0,0.0,0.0,0,0,0,1,1
AUS,Athletics,Athletics Men's 800 metres,1,0,0,0,0,26,1936,0.0,0.0,0.0,0.0,0,0,0,1,1
AUS,Athletics,Athletics Men's High Jump,1,0,0,0,0,26,1936,0.0,0.0,0.0,0.0,0,0,0,1,1
AUS,Athletics,Athletics Men's Triple Jump,2,0,0,1,1,26,1936,0.0,0.0,0.0,0.0,0,0,0,1,1
AUS,Athletics,Athletics Women's High Jump,1,0,0,0,0,26,1936,0.0,0.0,0.0,0.0,0,0,0,1,1
AUS,Boxing,Boxing Men's Flyweight,1,0,0,0,0,26,1936,0.0,0.0,0.0,0.0,0,0,0,1,1
AUS,Boxing,Boxing Men's Light-Heavyweight,1,0,0,0,0,26,1936,0.0,0.0,0.0,0.0,0,0,0,1,1
AUS,Boxing,Boxing Men's Welterweight,1,0,0,0,0,26,1936,0.0,0.0,0.0,0.0,0,0,0,1,1
