NOC,Sport,Event,athletes_number,gold_number,silver_number,bronze_number,total_number,Total Events,Year,gold_number_previous,silver_number_previous,bronze_number_previous,total_number_previous,Host,gold_sum,silver_sum,bronze_sum,total_sum
AUS,Athletics,"Athletics Men's 1,500 metres",1,1,0,0,1,5,1896,0,0,0,0,0,2,0,1,3
AUS,Athletics,Athletics Men's 800 metres,1,1,0,0,1,5,1896,0,0,0,0,0,2,0,1,3
AUS,Athletics,Athletics Men's Marathon,1,0,0,0,0,5,1896,0,0,0,0,0,2,0,1,3
AUS,Tennis,Tennis Men's Doubles,1,0,0,1,1,5,1896,0,0,0,0,0,2,0,1,3
AUS,Tennis,Tennis Men's Singles,1,0,0,0,0,5,1896,0,0,0,0,0,2,0,1,3
AUT,Cycling,"Cycling Men's 10,000 metres",1,0,0,1,1,8,1896,0,0,0,0,0,2,1,2,5
AUT,Cycling,Cycling Men's 100 kilometres,1,0,0,0,0,8,1896,0,0,0,0,0,2,1,2,5
AUT,Cycling,Cycling Men's 12-Hours Race,1,1,0,0,1,8,1896,0,0,0,0,0,2,1,2,5
AUT,Cycling,Cycling Men's 333 metres Time Trial,1,0,0,1,1,8,1896,0,0,0,0,0,2,1,2,5
AUT,Fencing,"Fencing Men's Sabre, Individual",1,0,0,0,0,8,1896,0,0,0,0,0,2,1,2,5
AUT,Swimming,"Swimming Men's 1,200 metres Freestyle",1,0,0,0,0,8,1896,0,0,0,0,0,2,1,2,5
AUT,Swimming,Swimming Men's 100 metres Freestyle,1,0,1,0,1,8,1896,0,0,0,0,0,2,1,2,5
AUT,Swimming,Swimming Men's 500 metres Freestyle,1,1,0,0,1,8,1896,0,0,0,0,0,2,1,2,5
DEN,Athletics,Athletics Men's 100 metres,1,0,0,0,0,12,1896,0,0,0,0,0,1,2,3,6
DEN,Athletics,Athletics Men's Discus Throw,2,0,0,0,0,12,1896,0,0,0,0,0,1,2,3,6
DEN,Athletics,Athletics Men's Shot Put,1,0,0,0,0,12,1896,0,0,0,0,0,1,2,3,6
DEN,Fencing,"Fencing Men's Sabre, Individual",1,0,0,1,1,12,1896,0,0,0,0,0,1,2,3,6
DEN,Gymnastics,Gymnastics Men's Rope Climbing,1,0,0,0,0,12,1896,0,0,0,0,0,1,2,3,6
DEN,Shooting,"Shooting Men's Free Pistol, 30 metres",1,0,1,0,1,12,1896,0,0,0,0,0,1,2,3,6
DEN,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",1,0,0,1,1,12,1896,0,0,0,0,0,1,2,3,6
DEN,Shooting,"Shooting Men's Military Pistol, 25 metres",1,0,0,0,0,12,1896,0,0,0,0,0,1,2,3,6
DEN,Shooting,"Shooting Men's Military Rifle, 200 metres",3,0,0,0,0,12,1896,0,0,0,0,0,1,2,3,6
DEN,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",1,0,0,1,1,12,1896,0,0,0,0,0,1,2,3,6
DEN,Weightlifting,"Weightlifting Men's Unlimited, One Hand",1,0,1,0,1,12,1896,0,0,0,0,0,1,2,3,6
DEN,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",1,1,0,0,1,12,1896,0,0,0,0,0,1,2,3,6
FRA,Athletics,"Athletics Men's 1,500 metres",1,0,0,1,1,18,1896,0,0,0,0,0,5,4,2,11
FRA,Athletics,Athletics Men's 100 metres,1,0,0,0,0,18,1896,0,0,0,0,0,5,4,2,11
FRA,Athletics,Athletics Men's 110 metres Hurdles,1,0,0,0,0,18,1896,0,0,0,0,0,5,4,2,11
FRA,Athletics,Athletics Men's 400 metres,2,0,0,0,0,18,1896,0,0,0,0,0,5,4,2,11
FRA,Athletics,Athletics Men's 800 metres,2,0,0,0,0,18,1896,0,0,0,0,0,5,4,2,11
FRA,Athletics,Athletics Men's Discus Throw,1,0,0,0,0,18,1896,0,0,0,0,0,5,4,2,11
FRA,Athletics,Athletics Men's Long Jump,2,0,0,0,0,18,1896,0,0,0,0,0,5,4,2,11
FRA,Athletics,Athletics Men's Marathon,1,0,0,0,0,18,1896,0,0,0,0,0,5,4,2,11
FRA,Athletics,Athletics Men's Triple Jump,1,0,1,0,1,18,1896,0,0,0,0,0,5,4,2,11
FRA,Cycling,"Cycling Men's 10,000 metres",2,1,1,0,2,18,1896,0,0,0,0,0,5,4,2,11
FRA,Cycling,Cycling Men's 100 kilometres,1,1,0,0,1,18,1896,0,0,0,0,0,5,4,2,11
FRA,Cycling,Cycling Men's 333 metres Time Trial,2,1,0,0,1,18,1896,0,0,0,0,0,5,4,2,11
FRA,Cycling,Cycling Men's Sprint,2,1,0,1,2,18,1896,0,0,0,0,0,5,4,2,11
FRA,Fencing,"Fencing Men's Foil, Individual",3,1,1,0,2,18,1896,0,0,0,0,0,5,4,2,11
FRA,Fencing,"Fencing Men's Foil, Masters, Individual",1,0,1,0,1,18,1896,0,0,0,0,0,5,4,2,11
FRA,Gymnastics,Gymnastics Men's Parallel Bars,1,0,0,0,0,18,1896,0,0,0,0,0,5,4,2,11
FRA,Shooting,"Shooting Men's Military Rifle, 200 metres",1,0,0,0,0,18,1896,0,0,0,0,0,5,4,2,11
FRA,Tennis,Tennis Men's Singles,1,0,0,0,0,18,1896,0,0,0,0,0,5,4,2,11
GBR,Athletics,Athletics Men's 100 metres,3,0,0,0,0,19,1896,0,0,0,0,0,3,3,3,9
GBR,Athletics,Athletics Men's 110 metres Hurdles,1,0,1,0,1,19,1896,0,0,0,0,0,3,3,3,9
GBR,Athletics,Athletics Men's 400 metres,1,0,0,1,1,19,1896,0,0,0,0,0,3,3,3,9
GBR,Athletics,Athletics Men's 800 metres,1,0,0,0,0,19,1896,0,0,0,0,0,3,3,3,9
GBR,Athletics,Athletics Men's Discus Throw,1,0,0,0,0,19,1896,0,0,0,0,0,3,3,3,9
GBR,Cycling,Cycling Men's 100 kilometres,1,0,0,0,0,19,1896,0,0,0,0,0,3,3,3,9
GBR,Cycling,Cycling Men's 12-Hours Race,1,0,1,0,1,19,1896,0,0,0,0,0,3,3,3,9
