NOC,Sport,Event,athletes_number,gold_number,silver_number,bronze_number,total_number,Total Events,Year,gold_number_previous,silver_number_previous,bronze_number_previous,total_number_previous,Host,gold_sum,silver_sum,bronze_sum,total_sum
ARG,Art Competitions,Art Competitions Mixed Unknown Event,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,"Athletics Men's 1,500 metres",1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,"Athletics Men's 10,000 metres",2,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,Athletics Men's 100 metres,3,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,Athletics Men's 200 metres,2,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,"Athletics Men's 3,000 metres Steeplechase",1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,Athletics Men's 800 metres,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,Athletics Men's Decathlon,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,Athletics Men's Discus Throw,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,Athletics Men's Hammer Throw,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,Athletics Men's Long Jump,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,Athletics Men's Marathon,3,1,0,0,1,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Athletics,Athletics Men's Shot Put,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Boxing,Boxing Men's Bantamweight,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Boxing,Boxing Men's Featherweight,1,1,0,0,1,30,1932,0.0,1.0,0.0,1.0,0,3,1,0,4
ARG,Boxing,Boxing Men's Flyweight,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Boxing,Boxing Men's Heavyweight,1,1,0,0,1,30,1932,1.0,0.0,0.0,1.0,0,3,1,0,4
ARG,Boxing,Boxing Men's Light-Heavyweight,1,0,0,0,0,30,1932,1.0,0.0,0.0,1.0,0,3,1,0,4
ARG,Boxing,Boxing Men's Lightweight,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Boxing,Boxing Men's Middleweight,1,0,1,0,1,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Boxing,Boxing Men's Welterweight,1,0,0,0,0,30,1932,0.0,1.0,0.0,1.0,0,3,1,0,4
ARG,Fencing,"Fencing Men's Foil, Individual",3,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Fencing,"Fencing Men's Foil, Team",4,0,0,0,0,30,1932,0.0,0.0,5.0,5.0,0,3,1,0,4
ARG,Fencing,"Fencing Men's Sabre, Individual",1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Fencing,"Fencing Men's epee, Individual",1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",2,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Swimming,Swimming Men's 100 metres Freestyle,2,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Swimming,Swimming Men's 200 metres Breaststroke,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,4,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
ARG,Weightlifting,Weightlifting Men's Middleweight,1,0,0,0,0,30,1932,0.0,0.0,0.0,0.0,0,3,1,0,4
AUS,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",1,0,0,0,0,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Athletics,"Athletics Men's 1,500 metres",1,0,0,0,0,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Athletics,Athletics Men's 400 metres,1,0,0,0,0,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Athletics,Athletics Men's 400 metres Hurdles,1,0,0,0,0,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Athletics,"Athletics Men's 5,000 metres",1,0,0,0,0,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Athletics,Athletics Women's 100 metres,1,0,0,0,0,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Cycling,"Cycling Men's 1,000 metres Time Trial",1,1,0,0,1,17,1932,0.0,0.0,1.0,1.0,0,3,1,1,5
AUS,Cycling,Cycling Men's Sprint,1,0,0,0,0,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Rowing,Rowing Men's Single Sculls,1,1,0,0,1,17,1932,1.0,0.0,0.0,1.0,0,3,1,1,5
AUS,Swimming,"Swimming Men's 1,500 metres Freestyle",2,0,0,0,0,17,1932,0.0,1.0,0.0,1.0,0,3,1,1,5
AUS,Swimming,Swimming Men's 100 metres Freestyle,1,0,0,0,0,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Swimming,Swimming Men's 400 metres Freestyle,2,0,0,0,0,17,1932,0.0,1.0,0.0,1.0,0,3,1,1,5
AUS,Swimming,Swimming Women's 100 metres Backstroke,1,0,1,0,1,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Swimming,Swimming Women's 100 metres Freestyle,1,0,0,0,0,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Swimming,Swimming Women's 200 metres Breaststroke,1,1,0,0,1,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Swimming,Swimming Women's 400 metres Freestyle,1,0,0,0,0,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUS,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",1,0,0,1,1,17,1932,0.0,0.0,0.0,0.0,0,3,1,1,5
AUT,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",4,0,0,0,0,14,1932,0.0,0.0,0.0,0.0,0,1,1,3,5
AUT,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",6,0,0,0,0,14,1932,0.0,0.0,0.0,0.0,0,1,1,3,5
AUT,Athletics,Athletics Men's 400 metres,1,0,0,0,0,14,1932,0.0,0.0,0.0,0.0,0,1,1,3,5
AUT,Athletics,Athletics Men's Discus Throw,1,0,0,0,0,14,1932,0.0,0.0,0.0,0.0,0,1,1,3,5
AUT,Diving,Diving Men's Platform,1,0,0,0,0,14,1932,0.0,0.0,0.0,0.0,0,1,1,3,5
AUT,Diving,Diving Men's Springboard,1,0,0,0,0,14,1932,0.0,0.0,0.0,0.0,0,1,1,3,5
AUT,Diving,Diving Women's Platform,1,0,0,0,0,14,1932,0.0,0.0,0.0,0.0,0,1,1,3,5
AUT,Diving,Diving Women's Springboard,1,0,0,0,0,14,1932,0.0,0.0,0.0,0.0,0,1,1,3,5
AUT,Fencing,"Fencing Women's Foil, Individual",1,1,0,0,1,14,1932,0.0,0.0,0.0,0.0,0,1,1,3,5
