NOC,Sport,Event,athletes_number,gold_number,silver_number,bronze_number,total_number,Total Events,Year,gold_number_previous,silver_number_previous,bronze_number_previous,total_number_previous,Host,Gold,Silver,Bronze,Total
AUS,Athletics,"Athletics Men's 1,500 metres",2,0,0,0,0,9,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUS,Athletics,Athletics Men's 100 metres,1,0,0,1,1,9,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUS,Athletics,Athletics Men's 400 metres,1,0,0,1,1,9,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUS,Athletics,Athletics Men's 5 mile,1,0,0,0,0,9,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUS,Athletics,Athletics Men's 800 metres,1,0,0,0,0,9,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUS,Athletics,Athletics Men's Marathon,1,0,0,0,0,9,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUS,Swimming,Swimming Men's 100 metres Freestyle,1,0,0,1,1,9,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUS,Swimming,Swimming Men's 400 metres Freestyle,1,0,0,0,0,9,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUS,Swimming,Swimming Men's One Mile Freestyle,1,0,0,0,0,9,1906,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,"Athletics Men's 1,500 metres",1,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,"Athletics Men's 1,500 metres Walk",1,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's 100 metres,3,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's 110 metres Hurdles,1,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,"Athletics Men's 3,000 metres Walk",1,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's 400 metres,1,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's 5 mile,1,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,"Athletics Men's Discus Throw, Greek Style",3,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's High Jump,2,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's Long Jump,2,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's Marathon,1,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's Pentathlon (Ancient),4,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's Shot Put,3,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's Standing High Jump,2,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's Standing Long Jump,2,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's Stone Throw,2,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Men's Triple Jump,2,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Cycling,Cycling Men's 20 kilometres,1,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Cycling,Cycling Men's 333 metres Time Trial,4,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Cycling,"Cycling Men's 5,000 metres",4,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Cycling,"Cycling Men's Road Race, Individual",3,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Cycling,Cycling Men's Sprint,4,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",2,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Diving,Diving Men's Platform,1,0,0,1,1,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Fencing,"Fencing Men's Foil, Individual",2,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AUT,Fencing,"Fencing Men's Sabre, Individual",1,0,0,0,0,46,1906,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
