NOC,Sport,Event,athletes_number,gold_number,silver_number,bronze_number,total_number,Total Events,Year,gold_number_previous,silver_number_previous,bronze_number_previous,total_number_previous,Host,Gold,Silver,Bronze,Total
AIN,Weightlifting,Men's 102kg,1,0,0,1,1,30,2024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
AIN,Weightlifting,Women's 71kg,1,0,0,0,0,30,2024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ALG,Boxing,Men's +92kg,1,0,0,0,0,47,2024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ALG,Boxing,Men's 63.5kg,1,0,0,0,0,47,2024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ALG,Boxing,Women's 50kg,1,0,0,0,0,47,2024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ALG,Boxing,Women's 60kg,1,0,0,0,0,47,2024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ALG,Boxing,Women's 66kg,1,1,0,0,1,47,2024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ALG,Weightlifting,Men's +102kg,1,0,0,0,0,47,2024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ARM,Boxing,Men's +92kg,1,0,0,0,0,16,2024,0.0,0.0,0.0,0.0,0,0.0,3.0,1.0,4.0
ARM,Weightlifting,Men's +102kg,1,0,1,0,1,16,2024,0.0,0.0,0.0,0.0,0,0.0,3.0,1.0,4.0
ARM,Weightlifting,Men's 102kg,1,0,0,0,0,16,2024,0.0,0.0,0.0,0.0,0,0.0,3.0,1.0,4.0
ARM,Weightlifting,Men's 89kg,1,0,0,0,0,16,2024,0.0,0.0,0.0,0.0,0,0.0,3.0,1.0,4.0
AUS,Boxing,Men's +92kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Men's 51kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Men's 57kg,1,0,0,1,1,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Men's 63.5kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Men's 71kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Men's 80kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Women's 50kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Women's 54kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Women's 57kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Women's 60kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Women's 66kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Boxing,Women's 75kg,1,0,0,1,1,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
AUS,Weightlifting,Men's 89kg,1,0,0,0,0,205,2024,0.0,0.0,0.0,0.0,0,18.0,19.0,16.0,53.0
