NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score,coach
GBR,Shooting,2024,1,1,0,2,10,18,1
GBR,Shooting,2020,0,0,1,1,8,7,0
GBR,Shooting,2016,0,0,2,2,7,14,0
GBR,Shooting,2012,1,0,0,1,16,10,0
GBR,Shooting,2008,0,0,0,0,7,0,0
GBR,Shooting,2004,0,0,0,0,6,0,0
GBR,Shooting,2000,1,1,0,2,6,18,0
GBR,Shooting,1996,0,0,0,0,7,0,0
GBR,Shooting,1992,0,0,0,0,8,0,0
GBR,Shooting,1988,1,1,0,2,13,18,0
GBR,Shooting,1984,1,0,3,4,22,31,0
GBR,Shooting,1976,0,0,0,0,13,0,0
GBR,Shooting,1972,0,0,1,1,15,7,0
GBR,Shooting,1968,1,0,0,1,10,10,0
GBR,Shooting,1964,0,0,0,0,8,0,0
GBR,Shooting,1960,0,0,0,0,10,0,0
GBR,Shooting,1956,0,0,0,0,11,0,0
GBR,Shooting,1952,0,0,0,0,14,0,0
GBR,Shooting,1948,0,0,0,0,12,0,0
GBR,Shooting,1924,4,2,0,6,35,56,0
GBR,Shooting,1920,0,0,0,0,8,0,0
GBR,Shooting,1912,4,17,10,31,85,246,0
GBR,Shooting,1908,14,15,16,45,131,372,0
GBR,Shooting,1906,2,0,2,4,21,34,0
GBR,Shooting,1900,0,0,0,0,1,0,0
GBR,Shooting,1896,0,0,0,0,5,0,0
