NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score,coach
GBR,Football,2020,0,0,0,0,22,0,0
GBR,Football,2012,0,0,0,0,33,0,0
GBR,Football,1960,0,0,0,0,15,0,0
GBR,Football,1956,0,0,0,0,12,0,0
GBR,Football,1952,0,0,0,0,11,0,0
GBR,Football,1948,0,0,0,0,19,0,0
GBR,Football,1936,0,0,0,0,15,0,0
GBR,Football,1920,0,0,0,0,11,0,0
GBR,Football,1912,14,0,0,14,14,140,0
GBR,Football,1908,11,0,0,11,11,110,0
GBR,Football,1906,0,8,0,8,8,64,0
GBR,Football,1900,11,0,1,12,12,117,0
