NOC,Sport,Event,athletes_number,gold_number,silver_number,bronze_number,total_number,Total Events,Year,gold_number_previous,silver_number_previous,bronze_number_previous,total_number_previous,Host,Gold,Silver,Bronze,Total
AFG,Athletics,Men's 100m,1,0,0,0,0,5,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AFG,Athletics,Women's 100m,1,0,0,0,0,5,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AFG,Cycling Road,Women's Individual Time Trial,1,0,0,0,0,5,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AFG,Cycling Road,Women's Road Race,2,0,0,0,0,5,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AFG,Judo,Men -81 kg,1,0,0,0,0,5,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AFG,Swimming,Men's 50m Freestyle,1,0,0,0,0,5,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Canoe Sprint,Men's Canoe Double 500m,2,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Canoe Sprint,Men's Canoe Single 1000m,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Canoe Sprint,Men's Kayak Single 1000m,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Canoe Sprint,Women's Canoe Single 200m,2,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Cycling Road,Men's Individual Time Trial,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Cycling Road,Men's Road Race,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Cycling Road,Women's Individual Time Trial,2,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Cycling Road,Women's Road Race,3,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Rowing,Men's Single Sculls,1,0,1,0,1,29,2028,0,1,0,1,0,0.0,0.0,0.0,0.0
AIN,Rowing,Women's Single Sculls,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Shooting,25m Pistol Women,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Shooting,50m Rifle 3 Positions Women,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Swimming,Men's 100m Breaststroke,2,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Swimming,Men's 50m Freestyle,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Swimming,Women's 100m Backstroke,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Swimming,Women's 100m Breaststroke,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Swimming,Women's 200m Backstroke,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Swimming,Women's 200m Breaststroke,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Taekwondo,Men -58kg,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Tennis,Men's Doubles,2,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Tennis,Men's Singles,3,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Tennis,Mixed Doubles,2,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Tennis,Women's Doubles,4,0,2,0,2,29,2028,0,2,0,2,0,0.0,0.0,0.0,0.0
AIN,Tennis,Women's Singles,3,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Trampoline Gymnastics,Men,1,1,0,0,1,29,2028,1,0,0,1,0,0.0,0.0,0.0,0.0
AIN,Trampoline Gymnastics,Women,2,0,1,0,1,29,2028,0,1,0,1,0,0.0,0.0,0.0,0.0
AIN,Wrestling,Men's Freestyle 74kg,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
AIN,Wrestling,Men's Greco-Roman 97kg,1,0,0,0,0,29,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
ALB,Athletics,Men's 100m,1,0,0,0,0,8,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
ALB,Athletics,Women's 3000m Steeplechase,1,0,0,0,0,8,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
ALB,Shooting,10m Air Pistol Women,1,0,0,0,0,8,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
ALB,Shooting,25m Pistol Women,1,0,0,0,0,8,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
ALB,Swimming,Men's 100m Freestyle,1,0,0,0,0,8,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
ALB,Swimming,Women's 200m Freestyle,1,0,0,0,0,8,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
ALB,Wrestling,Men's Freestyle 57kg,1,0,0,0,0,8,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
ALB,Wrestling,Men's Freestyle 65kg,1,0,0,1,1,8,2028,0,0,1,1,0,0.0,0.0,0.0,0.0
ALB,Wrestling,Men's Freestyle 74kg,1,0,0,1,1,8,2028,0,0,1,1,0,0.0,0.0,0.0,0.0
ALG,Artistic Gymnastics,Women,1,0,0,0,0,46,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
ALG,Artistic Gymnastics,Women's All-Around,1,0,0,0,0,46,2028,0,0,0,0,0,0.0,0.0,0.0,0.0
