Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Francisco Camet,M,Argentina,ARG,1900,Paris,Fencing,"Fencing Men's epee, Individual",No medal
Stanley Rowley,M,Australia,AUS,1900,Paris,Athletics,Athletics Men's 60 metres,Bronze
Stanley Rowley,M,Australia,AUS,1900,Paris,Athletics,Athletics Men's 100 metres,Bronze
Stanley Rowley,M,Australia,AUS,1900,Paris,Athletics,Athletics Men's 200 metres,Bronze
Stanley Rowley,M,Amateur Athletic Association,AUS,1900,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold
Frederick Lane,M,Australia,AUS,1900,Paris,Swimming,Swimming Men's 200 metres Freestyle,Gold
Frederick Lane,M,Australia,AUS,1900,Paris,Swimming,Swimming Men's 200 metres Obstacle Course,Gold
Heinrich Tenner,M,Austria,AUT,1900,Paris,Fencing,"Fencing Men's Sabre, Individual",No medal
Siegfried Flesch,M,Austria,AUT,1900,Paris,Fencing,"Fencing Men's Sabre, Individual",Bronze
Harstein,M,Austria,AUT,1900,Paris,Fencing,"Fencing Men's Sabre, Individual",No medal
Richard Foregger,M,Austria,AUT,1900,Paris,Swimming,Swimming Men's 200 metres Freestyle,No medal
van Stoppen,M,Austria,AUT,1900,Paris,Fencing,"Fencing Men's Foil, Individual",No medal
Cornelius Lubowiecki,M,Austria,AUT,1900,Paris,Athletics,Athletics Men's Discus Throw,No medal
Georges Zogheb,M,Austria-1,AUT,1900,Paris,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,No medal
Camillo Mller,M,Austria,AUT,1900,Paris,Fencing,"Fencing Men's Sabre, Individual",No medal
Otto Wahle,M,Austria,AUT,1900,Paris,Swimming,Swimming Men's 200 metres Freestyle,No medal
Otto Wahle,M,Austria,AUT,1900,Paris,Swimming,Swimming Men's 200 metres Obstacle Course,Silver
Otto Wahle,M,Austria,AUT,1900,Paris,Swimming,"Swimming Men's 1,000 metres Freestyle",Silver
Karl Ruberl,M,Austria,AUT,1900,Paris,Swimming,Swimming Men's 200 metres Backstroke,Silver
Karl Ruberl,M,Austria,AUT,1900,Paris,Swimming,Swimming Men's 200 metres Freestyle,Bronze
Karl Ruberl,M,Austria,AUT,1900,Paris,Swimming,Swimming Men's 200 metres Obstacle Course,No medal
Milan Nerali,M,Austria,AUT,1900,Paris,Fencing,"Fencing Men's Sabre, Masters, Individual",Bronze
Heinrich Rischtoff,M,Austria,AUT,1900,Paris,Fencing,"Fencing Men's Foil, Individual",No medal
Hermann Mandl,M,Austria,AUT,1900,Paris,Equestrianism,Equestrianism Mixed Long Jump,No medal
Hermann Mandl,M,Austria-1,AUT,1900,Paris,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,No medal
Hermann Mandl,M,Austria,AUT,1900,Paris,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,No medal
Hermann Mandl,M,Austria,AUT,1900,Paris,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal
Hermann Mandl,M,Austria,AUT,1900,Paris,Equestrianism,Equestrianism Mixed High Jump,No medal
Alois Anderle,M,Austria,AUT,1900,Paris,Swimming,Swimming Men's Underwater Swimming,No medal
Alois Anderle,M,Austria,AUT,1900,Paris,Swimming,"Swimming Men's 4,000 metres Freestyle",No medal
Hermann Wraschtil,M,Austria,AUT,1900,Paris,Athletics,"Athletics Men's 2,500 metres Steeplechase",No medal
Hermann Wraschtil,M,Austria,AUT,1900,Paris,Athletics,"Athletics Men's 1,500 metres",No medal
Rudolf Brosch,M,Austria,AUT,1900,Paris,Fencing,"Fencing Men's Foil, Individual",No medal
Charles Vergier,M,Belgium,BEL,1900,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No medal
Charles Vergier,M,Belgium,BEL,1900,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",No medal
Orban,M,Belgium-1,BEL,1900,Paris,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,No medal
Charles Vergier,M,Belgium,BEL,1900,Paris,Shooting,"Shooting Men's Free Rifle, Kneeling, 300 metres",No medal
Charles Vergier,M,Belgium,BEL,1900,Paris,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",No medal
Charles Vergier,M,Belgium,BEL,1900,Paris,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",Bronze
Georges Pauwels,M,Belgium-1,BEL,1900,Paris,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,No medal
Vincent,M,Belgium,BEL,1900,Paris,Cycling,Cycling Men's Sprint,No medal
Georges Poele,M,Belgium,BEL,1900,Paris,Equestrianism,Equestrianism Mixed High Jump,Bronze
Georges Poele,M,Belgium,BEL,1900,Paris,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,No medal
Maurice Verdonck,M,Royal Club Nautique de Gand,BEL,1900,Paris,Rowing,Rowing Men's Coxed Eights,Silver
Raul Kelecom,M,Univ. of Brussels,BEL,1900,Paris,Football,Football Men's Football,Bronze
Van Meulen,M,Belgium,BEL,1900,Paris,Equestrianism,Equestrianism Mixed Long Jump,No medal
Georges Poele,M,Belgium,BEL,1900,Paris,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
Edmond Neefs,M,Univ. of Brussels,BEL,1900,Paris,Football,Football Men's Football,Bronze
Georges Pelgrims,M,Univ. of Brussels,BEL,1900,Paris,Football,Football Men's Football,Bronze
Gerard Innis,M,Belgium,BEL,1900,Paris,Archery,"Archery Men's Au Cordon Dore, 50 metres",Silver
Gerard Innis,M,Belgium,BEL,1900,Paris,Archery,Archery Men's Championnat Du Monde,Silver
Gerard Innis,M,Belgium,BEL,1900,Paris,Archery,"Archery Men's Au Cordon Dore, 33 metres",Gold
Constant Langhendonck,M,Belgium,BEL,1900,Paris,Equestrianism,Equestrianism Mixed Long Jump,Gold
Alfred Landeghem,M,Royal Club Nautique de Gand,BEL,1900,Paris,Rowing,Rowing Men's Coxed Eights,Silver
Gerard Innis,M,Belgium,BEL,1900,Paris,Archery,"Archery Men's Au Chapelet, 50 metres",No medal
Jules Bury,M,Belgium,BEL,1900,Paris,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",No medal
Jules Bury,M,Belgium,BEL,1900,Paris,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",No medal
Jules Bury,M,Belgium,BEL,1900,Paris,Shooting,"Shooting Men's Free Rifle, Kneeling, 300 metres",No medal
Jules Bury,M,Belgium,BEL,1900,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",No medal
Jules Bury,M,Belgium,BEL,1900,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No medal
