Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Hilton Woods,M,Netherlands Antilles,AHO,1984,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,No medal
Julien Thode,M,Netherlands Antilles,AHO,1984,Los Angeles,Athletics,Athletics Men's 100 metres,No medal
Esther Croes,F,Netherlands Antilles,AHO,1984,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Solo,No medal
Esther Croes,F,Netherlands Antilles,AHO,1984,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Duet,No medal
Soraima Martha,F,Netherlands Antilles,AHO,1984,Los Angeles,Athletics,Athletics Women's 200 metres,No medal
Evelyn Farrell,F,Netherlands Antilles,AHO,1984,Los Angeles,Athletics,Athletics Women's 100 metres,No medal
Evert Kroon,M,Netherlands Antilles,AHO,1984,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,No medal
Nicole Hoevertsz,F,Netherlands Antilles,AHO,1984,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Duet,No medal
Evert Kroon,M,Netherlands Antilles,AHO,1984,Los Angeles,Swimming,Swimming Men's 400 metres Freestyle,No medal
Evert Kroon,M,Netherlands Antilles,AHO,1984,Los Angeles,Swimming,Swimming Men's 200 metres Freestyle,No medal
Petra Bekaert,F,Netherlands Antilles,AHO,1984,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,No medal
Julien Thode,M,Netherlands Antilles,AHO,1984,Los Angeles,Athletics,Athletics Men's 200 metres,No medal
Nicole Hoevertsz,F,Netherlands Antilles,AHO,1984,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Solo,No medal
Ali Bakhta,M,Algeria,ALG,1984,Los Angeles,Athletics,Athletics Men's 200 metres,No medal
Ahmed Kessam,M,Algeria,ALG,1984,Los Angeles,Athletics,Athletics Men's 800 metres,No medal
Djaffar Hocine,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Noureddine Bekkouche,M,Algeria,ALG,1984,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,No medal
Kamel Aboud,M,Algeria,ALG,1984,Los Angeles,Boxing,Boxing Men's Welterweight,No medal
Kamel Maoudj,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Ahmed Tarbi,M,Algeria,ALG,1984,Los Angeles,Weightlifting,Weightlifting Men's Bantamweight,No medal
Ikhlef Allah,M,Algeria,ALG,1984,Los Angeles,Boxing,Boxing Men's Light-Welterweight,No medal
Mehdi Aidet,M,Algeria,ALG,1984,Los Angeles,Athletics,"Athletics Men's 1,500 metres",No medal
Zineddine Seghir,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Mustapha Kouchene,M,Algeria,ALG,1984,Los Angeles,Boxing,Boxing Men's Bantamweight,No medal
Omar Azzeb,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Abu Draouci,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Mustapha Doballah,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Hocine Ledra,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Azzedine Sad,M,Algeria,ALG,1984,Los Angeles,Boxing,Boxing Men's Featherweight,No medal
Abderrahmane Morceli,M,Algeria,ALG,1984,Los Angeles,Athletics,"Athletics Men's 1,500 metres",No medal
Mustapha Moussa,M,Algeria,ALG,1984,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,Bronze
Mohamed Zaoui,M,Algeria,ALG,1984,Los Angeles,Boxing,Boxing Men's Middleweight,Bronze
Rashid Mokhrani,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Abdel Ferguene,M,Algeria,ALG,1984,Los Angeles,Athletics,Athletics Men's 20 kilometres Walk,No medal
Mourad Boussebt,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Benamar Kechkouche,M,Algeria,ALG,1984,Los Angeles,Athletics,Athletics Men's 20 kilometres Walk,No medal
Azzedine Ouhib,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Kamel Ouchia,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Brahim Bourdrali,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Mohamed Bouchiche,M,Algeria,ALG,1984,Los Angeles,Boxing,Boxing Men's Heavyweight,No medal
Abdel Bounour,M,Algeria,ALG,1984,Los Angeles,Athletics,"Athletics Men's 5,000 metres",No medal
Mouloud Mekhnache,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Hakim Toumi,M,Algeria,ALG,1984,Los Angeles,Athletics,Athletics Men's Hammer Throw,No medal
Abdel Soula,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Abdel Djemil,M,Algeria,ALG,1984,Los Angeles,Handball,Handball Men's Handball,No medal
Mohamed Haddad,M,Algeria,ALG,1984,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,No medal
Francesco Fris,M,Andorra,AND,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal
Joan Roca,M,Andorra,AND,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal
Dale Jones,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,"Athletics Men's 1,500 metres",No medal
Dale Jones,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 800 metres,No medal
Dale Jones,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Alfred Browne,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Alfred Browne,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Alfred Browne,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 400 metres,No medal
Laverne Bryan,F,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Women's 800 metres,No medal
Laverne Bryan,F,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,"Athletics Women's 1,500 metres",No medal
Laverne Bryan,F,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,No medal
Jocelyn Joseph,F,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,No medal
Jocelyn Joseph,F,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Women's 400 metres,No medal
Lester Benjamin,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's Long Jump,No medal
Howard Lindsay,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Ruperta Charles,F,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Women's 100 metres,No medal
Inigo Ross,M,Antigua and Barbuda,ANT,1984,Los Angeles,Sailing,Sailing Men's Windsurfer,No medal
Ruperta Charles,F,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,No medal
Monica Stevens,F,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,No medal
Elisha Hughes,M,Antigua and Barbuda,ANT,1984,Los Angeles,Cycling,Cycling Men's Points Race,No medal
Lester Benjamin,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Anthony Henry,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 100 metres,No medal
Anthony Henry,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Leonard Richardson,M,Antigua and Barbuda,ANT,1984,Los Angeles,Cycling,Cycling Men's Sprint,No medal
Leonard Richardson,M,Antigua and Barbuda,ANT,1984,Los Angeles,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal
Brian Lyn,M,Antigua and Barbuda,ANT,1984,Los Angeles,Cycling,Cycling Men's Sprint,No medal
Larry Miller,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Larry Miller,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Larry Miller,M,Antigua and Barbuda,ANT,1984,Los Angeles,Athletics,Athletics Men's 200 metres,No medal
Omar Ortega,M,Argentina,ARG,1984,Los Angeles,Athletics,"Athletics Men's 1,500 metres",No medal
Vernica Caales,F,Argentina,ARG,1984,Los Angeles,Diving,Diving Women's Springboard,No medal
Vernica Caales,F,Argentina,ARG,1984,Los Angeles,Diving,Diving Women's Platform,No medal
Hugo Andersen,M,Argentina,ARG,1984,Los Angeles,Judo,Judo Men's Heavyweight,No medal
Alcides Cuminetti,M,Argentina,ARG,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,No medal
Walter Bauza,M,Argentina,ARG,1984,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
Alejandro Lecot,M,Argentina,ARG,1984,Los Angeles,Swimming,Swimming Men's 400 metres Freestyle,No medal
Alejandro Lecot,M,Argentina,ARG,1984,Los Angeles,Swimming,"Swimming Men's 1,500 metres Freestyle",No medal
Leonardo Wiernes,M,Argentina,ARG,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,No medal
Carlos Irigoyen,M,Argentina,ARG,1984,Los Angeles,Sailing,Sailing Mixed Two Person Dinghy,No medal
Eduardo Martnez,M,Argentina,ARG,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,No medal
Waldo Kantor,M,Argentina,ARG,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,No medal
Pedro Dcima,M,Argentina,ARG,1984,Los Angeles,Boxing,Boxing Men's Bantamweight,No medal
Gonzalo Heredia,M,Argentina,ARG,1984,Los Angeles,Sailing,Sailing Mixed Two Person Dinghy,No medal
Firmo Buabud,M,Argentina,ARG,1984,Los Angeles,Shooting,Shooting Mixed Skeet,No medal
Dela Capotosto,F,Argentina,ARG,1984,Los Angeles,Athletics,Athletics Women's 100 metres Hurdles,No medal
Constanza Oriani,F,Argentina,ARG,1984,Los Angeles,Fencing,"Fencing Women's Foil, Team",No medal
Csaba Gaspar,M,Argentina,ARG,1984,Los Angeles,Fencing,"Fencing Men's epee, Team",No medal
Csaba Gaspar,M,Argentina,ARG,1984,Los Angeles,Fencing,"Fencing Men's epee, Individual",No medal
Csaba Gaspar,M,Argentina,ARG,1984,Los Angeles,Fencing,"Fencing Men's Foil, Team",No medal
Jorge Noco,M,Argentina,ARG,1984,Los Angeles,Judo,Judo Men's Extra-Lightweight,No medal
Marcelo Alexandre,M,Argentina,ARG,1984,Los Angeles,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal
Julio Faln,M,Argentina,ARG,1984,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,No medal
Julio Faln,M,Argentina,ARG,1984,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,No medal
Marcelo Alexandre,M,Argentina,ARG,1984,Los Angeles,Cycling,Cycling Men's Sprint,No medal
Adrin Melosi,M,Argentina,ARG,1984,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal
Daniel Navarrete,M,Argentina,ARG,1984,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Freestyle",No medal
Daniel Navarrete,M,Argentina,ARG,1984,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",No medal
