Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Pedro Brise,M,Argentina,ARG,1928,Amsterdam,Rowing,Rowing Men's Coxed Eights,No medal
Vctor Peralta,M,Argentina,ARG,1928,Amsterdam,Boxing,Boxing Men's Featherweight,Silver
Feliciano Perducca,M,Argentina,ARG,1928,Amsterdam,Football,Football Men's Football,Silver
Raimundo Orsi,M,Argentina,ARG,1928,Amsterdam,Football,Football Men's Football,Silver
Jorge Briola,M,Argentina,ARG,1928,Amsterdam,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",No medal
Antonio Ramognino,M,Argentina,ARG,1928,Amsterdam,Fencing,"Fencing Men's epee, Individual",No medal
Ricardo Pardellas,M,Argentina,ARG,1928,Amsterdam,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",No medal
Humberto Curi,M,Argentina,ARG,1928,Amsterdam,Boxing,Boxing Men's Middleweight,No medal
Francisco Bonvehi,M,Argentina,ARG,1928,Amsterdam,Cycling,"Cycling Men's Road Race, Team",No medal
Luis Meyer,M,Argentina,ARG,1928,Amsterdam,Cycling,"Cycling Men's Road Race, Team",No medal
Leopoldo Ledesma,M,Argentina,ARG,1928,Amsterdam,Athletics,Athletics Men's 800 metres,No medal
Leopoldo Ledesma,M,Argentina,ARG,1928,Amsterdam,Athletics,"Athletics Men's 1,500 metres",No medal
Francisco Bonvehi,M,Argentina,ARG,1928,Amsterdam,Cycling,"Cycling Men's Road Race, Individual",No medal
Ral Anganuzzi,M,Argentina,ARG,1928,Amsterdam,Fencing,"Fencing Men's Foil, Team",Bronze
Lzaro Iturrieta,M,Argentina,ARG,1928,Amsterdam,Rowing,Rowing Men's Coxed Eights,No medal
Rodolfo Orlandini,M,Argentina,ARG,1928,Amsterdam,Football,Football Men's Football,Silver
Alberto Barucco,M,Argentina,ARG,1928,Amsterdam,Athletics,Athletics Men's 100 metres,No medal
Alberto Barucco,M,Argentina,ARG,1928,Amsterdam,Athletics,Athletics Men's 200 metres,No medal
Oscar Martnez,M,Argentina,ARG,1928,Amsterdam,Fencing,"Fencing Men's epee, Individual",No medal
Carlos Saavedra,M,Cupidon III,ARG,1928,Amsterdam,Sailing,Sailing Mixed 8 metres,No medal
Juan Evaristo,M,Argentina,ARG,1928,Amsterdam,Football,Football Men's Football,Silver
Emilio Vives,M,Argentina,ARG,1928,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal
Irving Bond,M,Argentina,ARG,1928,Amsterdam,Rowing,Rowing Men's Coxed Eights,No medal
ngel Mdici,M,Argentina,ARG,1928,Amsterdam,Football,Football Men's Football,Silver
Csar Garibaldi,M,Argentina,ARG,1928,Amsterdam,Weightlifting,Weightlifting Men's Lightweight,No medal
