Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Mohammad Ebrahimi,M,Afghanistan,AFG,1968,Mexico City,Wrestling,"Wrestling Men's Featherweight, Freestyle",No medal
Kayum Ayub,M,Afghanistan,AFG,1968,Mexico City,Wrestling,"Wrestling Men's Welterweight, Freestyle",No medal
Aka-Jahan Dastagir,M,Afghanistan,AFG,1968,Mexico City,Wrestling,"Wrestling Men's Lightweight, Freestyle",No medal
Ghulam Dastagir,M,Afghanistan,AFG,1968,Mexico City,Wrestling,"Wrestling Men's Middleweight, Freestyle",No medal
Ahmad Djan,M,Afghanistan,AFG,1968,Mexico City,Wrestling,"Wrestling Men's Bantamweight, Freestyle",No medal
Myrna Plate,F,Netherlands Antilles,AHO,1968,Mexico City,Fencing,"Fencing Women's Foil, Individual",No medal
Rudolf Sofia,M,Netherlands Antilles,AHO,1968,Mexico City,Weightlifting,Weightlifting Men's Middleweight,No medal
Fortunato Rijna,M,Netherlands Antilles,AHO,1968,Mexico City,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal
Jan Prins,M,Netherlands Antilles,AHO,1968,Mexico City,Fencing,"Fencing Men's Sabre, Individual",No medal
Ivonne Kistemaker,F,Netherlands Antilles,AHO,1968,Mexico City,Fencing,"Fencing Women's Foil, Individual",No medal
Rabah Labiod,M,Algeria,ALG,1968,Mexico City,Boxing,Boxing Men's Welterweight,No medal
Larbi Lazhari,M,Algeria,ALG,1968,Mexico City,Gymnastics,Gymnastics Men's Horse Vault,No medal
Larbi Lazhari,M,Algeria,ALG,1968,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,No medal
Larbi Lazhari,M,Algeria,ALG,1968,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Larbi Lazhari,M,Algeria,ALG,1968,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,No medal
Larbi Lazhari,M,Algeria,ALG,1968,Mexico City,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
Larbi Lazhari,M,Algeria,ALG,1968,Mexico City,Gymnastics,Gymnastics Men's Rings,No medal
