Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Robert Craig,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Joseph Lynch,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's Marathon,No medal
Joseph Lynch,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's 5 mile,No medal
Joseph Lynch,M,Australasia,ANZ,1908,London,Athletics,"Athletics Men's 1,500 metres",No medal
Henry Kerr,M,Australasia,ANZ,1908,London,Athletics,"Athletics Men's 3,500 metres Walk",Bronze
Henry Kerr,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's 10 mile Walk,No medal
Phillip Carmichael,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Daniel Carroll,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
William Hill,M,Australasia,ANZ,1908,London,Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",No medal
William Hill,M,Australasia,ANZ,1908,London,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",No medal
William Hill,M,Australasia,ANZ,1908,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",No medal
Charles Mcmurtrie,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
George Blake,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's 5 mile,No medal
George Blake,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's Marathon,No medal
Arthur Mccabe,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Charles Swain,M,Australasia,ANZ,1908,London,Athletics,"Athletics Men's 1,500 metres",No medal
Malcolm Mcarthur,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Reginald Baker,M,Australasia,ANZ,1908,London,Diving,Diving Men's Springboard,No medal
Theodore Tartakover,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 100 metres Freestyle,No medal
Christopher Mckivat,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Thomas Richards,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Ernest Hutcheon,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's Standing High Jump,No medal
Edward Cooke,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 100 metres Freestyle,No medal
Francis Smith,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Edward Cooke,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 200 metres Breaststroke,No medal
Henry Murray,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's 400 metres Hurdles,No medal
Henry Murray,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's 110 metres Hurdles,No medal
Reginald Baker,M,Australasia,ANZ,1908,London,Boxing,Boxing Men's Middleweight,Silver
Frank Springfield,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 400 metres Freestyle,No medal
Frank Springfield,M,Australasia,ANZ,1908,London,Swimming,"Swimming Men's 1,500 metres Freestyle",No medal
Frank Springfield,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal
Albert Rowland,M,Australasia,ANZ,1908,London,Athletics,"Athletics Men's 3,500 metres Walk",No medal
Albert Rowland,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's 10 mile Walk,No medal
Thomas Griffin,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Patrick Mccue,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Theodore Tartakover,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal
Theodore Tartakover,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 400 metres Freestyle,No medal
Reginald Baker,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal
William Aitken,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's Marathon,No medal
Sydney Middleton,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Francis Beaurepaire,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal
Charles Russell,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
John Hickey,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
John Barnett,M,Australasia,ANZ,1908,London,Rugby,Rugby Men's Rugby,Gold
Francis Beaurepaire,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 100 metres Freestyle,No medal
Francis Beaurepaire,M,Australasia,ANZ,1908,London,Swimming,Swimming Men's 400 metres Freestyle,Silver
Harvey Sutton,M,Australasia,ANZ,1908,London,Athletics,Athletics Men's 800 metres,No medal
Francis Beaurepaire,M,Australasia,ANZ,1908,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Horatio Torrom,M,Argentina,ARG,1908,London,Figure Skating,Figure Skating Men's Singles,No medal
Siegfried Flesch,M,Austria,AUT,1908,London,Fencing,"Fencing Men's Sabre, Individual",No medal
Fritz Piepes,M,Austria,AUT,1908,London,Tennis,Tennis Men's Doubles,No medal
Fritz Piepes,M,Austria,AUT,1908,London,Tennis,Tennis Men's Singles,No medal
Erich Schnecker,M,Austria,AUT,1908,London,Athletics,Athletics Men's 100 metres,No medal
Erich Schnecker,M,Austria,AUT,1908,London,Athletics,Athletics Men's 200 metres,No medal
Arthur Zborzil,M,Austria,AUT,1908,London,Tennis,Tennis Men's Singles,No medal
Arthur Zborzil,M,Austria,AUT,1908,London,Tennis,Tennis Men's Doubles,No medal
Rolf Kinzl,M,Austria,AUT,1908,London,Tennis,Tennis Men's Singles,No medal
Otto (sochaczewsky-),M,Austria,AUT,1908,London,Swimming,Swimming Men's 100 metres Freestyle,No medal
Otto (sochaczewsky-),M,Austria,AUT,1908,London,Swimming,Swimming Men's 400 metres Freestyle,Bronze
Otto (sochaczewsky-),M,Austria,AUT,1908,London,Swimming,"Swimming Men's 1,500 metres Freestyle",No medal
Emmerich Rath,M,Austria,AUT,1908,London,Athletics,Athletics Men's 10 mile Walk,No medal
