Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Mahmood Noor,M,Afghanistan,AFG,2024,Paris,Athletics,Men's 100m,No medal
Yulduz Hashimi,F,Afghanistan,AFG,2024,Paris,Cycling Road,Women's Individual Time Trial,No medal
Samim Faizad,M,Afghanistan,AFG,2024,Paris,Judo,Men -81 kg,No medal
Yulduz Hashimi,F,Afghanistan,AFG,2024,Paris,Cycling Road,Women's Road Race,No medal
Fahim Anwari,M,Afghanistan,AFG,2024,Paris,Swimming,Men's 50m Freestyle,No medal
Kimia Yousofi,F,Afghanistan,AFG,2024,Paris,Athletics,Women's 100m,No medal
Fariba Hashimi,F,Afghanistan,AFG,2024,Paris,Cycling Road,Women's Road Race,No medal
Anastasiya Shkurdai,F,AIN,AIN,2024,Paris,Swimming,Women's 100m Backstroke,No medal
Aliaksandra Piatrova,F,AIN,AIN,2024,Paris,Shooting,25m Pistol Women,No medal
Yauheni Zalaty,M,AIN,AIN,2024,Paris,Rowing,Men's Single Sculls,Silver
Mahamedkhabib Kadzimahamedau,M,AIN,AIN,2024,Paris,Wrestling,Men's Freestyle 74kg,No medal
Anastasiya Shkurdai,F,AIN,AIN,2024,Paris,Swimming,Women's 200m Backstroke,No medal
Evgenii Somov,M,AIN,AIN,2024,Paris,Swimming,Men's 50m Freestyle,No medal
Ilya Shymanovich,M,AIN,AIN,2024,Paris,Swimming,Men's 100m Breaststroke,No medal
Abubakar Khaslakhanau,M,AIN,AIN,2024,Paris,Wrestling,Men's Greco-Roman 97kg,No medal
Evgenii Somov,M,AIN,AIN,2024,Paris,Swimming,Men's 100m Breaststroke,No medal
Yauheni Tsikhantsou,M,AIN,AIN,2024,Paris,Weightlifting,Men's 102kg,Bronze
Tamara Dronova,F,AIN,AIN,2024,Paris,Cycling Road,Women's Road Race,No medal
Yuliya Trushkina,F,AIN,AIN,2024,Paris,Canoe Sprint,Women's Canoe Single 200m,No medal
Uladzislau Kravets,M,AIN,AIN,2024,Paris,Canoe Sprint,Men's Kayak Single 1000m,No medal
Siuzanna Valodzka,F,AIN,AIN,2024,Paris,Weightlifting,Women's 71kg,No medal
Tamara Dronova,F,AIN,AIN,2024,Paris,Cycling Road,Women's Individual Time Trial,No medal
Viyaleta Bardzilouskaya,F,AIN,AIN,2024,Paris,Trampoline Gymnastics,Women,Silver
Ivan Litvinovich,M,AIN,AIN,2024,Paris,Trampoline Gymnastics,Men,Gold
Alina Zmushka,F,AIN,AIN,2024,Paris,Swimming,Women's 200m Breaststroke,No medal
Alina Zmushka,F,AIN,AIN,2024,Paris,Swimming,Women's 100m Breaststroke,No medal
Mirra Andreeva,F,AIN,AIN,2024,Paris,Tennis,Mixed Doubles,No medal
Alexey Korovashkov,M,AIN,AIN,2024,Paris,Canoe Sprint,Men's Canoe Double 500m,No medal
Olesia Romasenko,F,AIN,AIN,2024,Paris,Canoe Sprint,Women's Canoe Single 200m,No medal
Daniil Medvedev,M,AIN,AIN,2024,Paris,Tennis,Men's Doubles,No medal
Gleb Syritsa,M,AIN,AIN,2024,Paris,Cycling Road,Men's Individual Time Trial,No medal
Gleb Syritsa,M,AIN,AIN,2024,Paris,Cycling Road,Men's Road Race,No medal
Tatsiana Klimovich,F,AIN,AIN,2024,Paris,Rowing,Women's Single Sculls,No medal
Elena Vesnina,F,AIN,AIN,2024,Paris,Tennis,Women's Doubles,No medal
Alena Ivanchenko,F,AIN,AIN,2024,Paris,Cycling Road,Women's Road Race,No medal
Pavel Kotov,M,AIN,AIN,2024,Paris,Tennis,Men's Singles,No medal
Roman Safiullin,M,AIN,AIN,2024,Paris,Tennis,Men's Doubles,No medal
Roman Safiullin,M,AIN,AIN,2024,Paris,Tennis,Men's Singles,No medal
Anzhela Bladtceva,F,AIN,AIN,2024,Paris,Trampoline Gymnastics,Women,No medal
Daniil Medvedev,M,AIN,AIN,2024,Paris,Tennis,Mixed Doubles,No medal
Darya Chuprys,F,AIN,AIN,2024,Paris,Shooting,50m Rifle 3 Positions Women,No medal
Ekaterina Alexandrova,F,AIN,AIN,2024,Paris,Tennis,Women's Doubles,No medal
Zakhar Petrov,M,AIN,AIN,2024,Paris,Canoe Sprint,Men's Canoe Single 1000m,No medal
Ekaterina Alexandrova,F,AIN,AIN,2024,Paris,Tennis,Women's Singles,No medal
Diana Shnaider,F,AIN,AIN,2024,Paris,Tennis,Women's Doubles,Silver
Mirra Andreeva,F,AIN,AIN,2024,Paris,Tennis,Women's Singles,No medal
Mirra Andreeva,F,AIN,AIN,2024,Paris,Tennis,Women's Doubles,Silver
Georgiy Gurtsiev,M,AIN,AIN,2024,Paris,Taekwondo,Men -58kg,No medal
Diana Shnaider,F,AIN,AIN,2024,Paris,Tennis,Women's Singles,No medal
Daniil Medvedev,M,AIN,AIN,2024,Paris,Tennis,Men's Singles,No medal
Zakhar Petrov,M,AIN,AIN,2024,Paris,Canoe Sprint,Men's Canoe Double 500m,No medal
Hanna Tserakh,F,AIN,AIN,2024,Paris,Cycling Road,Women's Road Race,No medal
Hanna Tserakh,F,AIN,AIN,2024,Paris,Cycling Road,Women's Individual Time Trial,No medal
Islam Dudaev,M,Albania,ALB,2024,Paris,Wrestling,Men's Freestyle 65kg,Bronze
Luiza Gega,F,Albania,ALB,2024,Paris,Athletics,Women's 3000m Steeplechase,No medal
Zelimkhan Abakarov,M,Albania,ALB,2024,Paris,Wrestling,Men's Freestyle 57kg,No medal
Kaltra Meca,F,Albania,ALB,2024,Paris,Swimming,Women's 200m Freestyle,No medal
Grisi Koxhaku,M,Albania,ALB,2024,Paris,Swimming,Men's 100m Freestyle,No medal
Manjola Konini,F,Albania,ALB,2024,Paris,Shooting,10m Air Pistol Women,No medal
Manjola Konini,F,Albania,ALB,2024,Paris,Shooting,25m Pistol Women,No medal
Franko Burraj,M,Albania,ALB,2024,Paris,Athletics,Men's 100m,No medal
Chermen Valiev,M,Albania,ALB,2024,Paris,Wrestling,Men's Freestyle 74kg,Bronze
Koceila Mammeri,M,Algeria,ALG,2024,Paris,Badminton,Mixed Doubles,No medal
Violette Mammeri,F,Algeria,ALG,2024,Paris,Badminton,Mixed Doubles,No medal
Salim Heroui,M,Algeria,ALG,2024,Paris,Fencing,Men's Foil Individual,No medal
Chaima Benadouda,F,Algeria,ALG,2024,Paris,Fencing,Women's Sabre Team,No medal
Chaima Benadouda,F,Algeria,ALG,2024,Paris,Fencing,Women's Sabre Individual,No medal
Kaouther Mohamed,F,Algeria,ALG,2024,Paris,Fencing,Women's Sabre Team,No medal
Nora Kehli,F,Algeria,ALG,2024,Paris,Fencing,Women's Sabre Team,No medal
Nora Kehli,F,Algeria,ALG,2024,Paris,Fencing,Women's Sabre Individual,No medal
Saoussen Boudiaf,F,Algeria,ALG,2024,Paris,Fencing,Women's Sabre Team,No medal
Saoussen Boudiaf,F,Algeria,ALG,2024,Paris,Fencing,Women's Sabre Individual,No medal
Walid Bidani,M,Algeria,ALG,2024,Paris,Weightlifting,Men's +102kg,No medal
Jaouad Syoud,M,Algeria,ALG,2024,Paris,Swimming,Men's 200m Individual Medley,No medal
Bilal Tabti,M,Algeria,ALG,2024,Paris,Athletics,Men's 3000m Steeplechase,No medal
Ali Gouaned,M,Algeria,ALG,2024,Paris,Athletics,Men's 800m,No medal
Lynda Loghraibi,F,Algeria,ALG,2024,Paris,Table Tennis,Women's Singles,No medal
Oussama Khennoussi,M,Algeria,ALG,2024,Paris,Athletics,Men's Discus Throw,No medal
Zahra Tatar,F,Algeria,ALG,2024,Paris,Athletics,Women's Hammer Throw,No medal
Mehdi Bouloussa,M,Algeria,ALG,2024,Paris,Table Tennis,Men's Singles,No medal
Amine Bouanani,M,Algeria,ALG,2024,Paris,Athletics,Men's 110m Hurdles,No medal
Mohammed Triki,M,Algeria,ALG,2024,Paris,Athletics,Men's Triple Jump,No medal
Nesrine Medjahed,F,Algeria,ALG,2024,Paris,Swimming,Women's 100m Freestyle,No medal
Slimane Moula,M,Algeria,ALG,2024,Paris,Athletics,Men's 800m,No medal
Djamel Sedjati,M,Algeria,ALG,2024,Paris,Athletics,Men's 800m,Bronze
Nesrine Houili,F,Algeria,ALG,2024,Paris,Cycling Road,Women's Road Race,No medal
Yacine Hamza,M,Algeria,ALG,2024,Paris,Cycling Road,Men's Road Race,No medal
Mehdi Lili,M,Algeria,ALG,2024,Paris,Judo,Men +100 kg,No medal
Redouane Dris,M,Algeria,ALG,2024,Paris,Judo,Men -73 kg,No medal
Amina Belkadi,F,Algeria,ALG,2024,Paris,Judo,Women -63 kg,No medal
Imane Khelif,F,Algeria,ALG,2024,Paris,Boxing,Women's 66kg,Gold
Dounia Khelif,F,Algeria,ALG,2024,Paris,Boxing,Women's 60kg,No medal
Abdelkarim Fergat,M,Algeria,ALG,2024,Paris,Wrestling,Men's Greco-Roman 60kg,No medal
Ishak Ghaiou,M,Algeria,ALG,2024,Paris,Wrestling,Men's Greco-Roman 67kg,No medal
Elkrim Ouakali,M,Algeria,ALG,2024,Paris,Wrestling,Men's Greco-Roman 77kg,No medal
Bachir Sid,M,Algeria,ALG,2024,Paris,Wrestling,Men's Greco-Roman 87kg,No medal
Fadi Rouabah,M,Algeria,ALG,2024,Paris,Wrestling,Men's Greco-Roman 97kg,No medal
Fateh Benferdjallah,M,Algeria,ALG,2024,Paris,Wrestling,Men's Freestyle 86kg,No medal
Ibtissem Doudou,F,Algeria,ALG,2024,Paris,Wrestling,Women's Freestyle 50kg,No medal
Fouzia Aouissi,F,Algeria,ALG,2024,Paris,Wrestling,Women's Freestyle 57kg,No medal
Rami Boudrouma,M,Algeria,ALG,2024,Paris,Sailing,Men's Windsurfing,No medal
Kaylia Nemour,F,Algeria,ALG,2024,Paris,Artistic Gymnastics,Women,No medal
Kaylia Nemour,F,Algeria,ALG,2024,Paris,Artistic Gymnastics,Women's All-Around,No medal
Kaylia Nemour,F,Algeria,ALG,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal
