Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Ahmad Nasir,M,Afghanistan,AFG,1988,Seoul,Wrestling,"Wrestling Men's Flyweight, Freestyle",No medal
Ali Dad,M,Afghanistan,AFG,1988,Seoul,Wrestling,"Wrestling Men's Featherweight, Freestyle",No medal
Mohammad Shir,M,Afghanistan,AFG,1988,Seoul,Wrestling,"Wrestling Men's Lightweight, Freestyle",No medal
Mohammad Taj,M,Afghanistan,AFG,1988,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",No medal
Mohammad Razigul,M,Afghanistan,AFG,1988,Seoul,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",No medal
Hilton Woods,M,Netherlands Antilles,AHO,1988,Seoul,Swimming,Swimming Men's 100 metres Freestyle,No medal
Jeanne Lopes,F,Netherlands Antilles,AHO,1988,Seoul,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal
Hilton Woods,M,Netherlands Antilles,AHO,1988,Seoul,Swimming,Swimming Men's 50 metres Freestyle,No medal
Jan Boersma,M,Netherlands Antilles,AHO,1988,Seoul,Sailing,Sailing Mixed Windsurfer,Silver
Ben Beghouach,M,Algeria,ALG,1988,Seoul,Handball,Handball Men's Handball,No medal
Noureddine Tadjine,M,Algeria,ALG,1988,Seoul,Athletics,Athletics Men's 110 metres Hurdles,No medal
Ahmed Kessam,M,Algeria,ALG,1988,Seoul,Athletics,Athletics Men's 800 metres,No medal
Azzedine Basbas,M,Algeria,ALG,1988,Seoul,Weightlifting,Weightlifting Men's Bantamweight,No medal
Riad Chibani,M,Algeria,ALG,1988,Seoul,Judo,Judo Men's Middleweight,No medal
Allaoua Khellil,M,Algeria,ALG,1988,Seoul,Athletics,Athletics Men's Marathon,No medal
Fethnour Lacheheb,M,Algeria,ALG,1988,Seoul,Handball,Handball Men's Handball,No medal
Makhlouf Hocine,M,Algeria,ALG,1988,Seoul,Handball,Handball Men's Handball,No medal
Zineddine Seghir,M,Algeria,ALG,1988,Seoul,Handball,Handball Men's Handball,No medal
Rachid Kram,M,Algeria,ALG,1988,Seoul,Athletics,"Athletics Men's 1,500 metres",No medal
Meziane Dahmani,M,Algeria,ALG,1988,Seoul,Judo,Judo Men's Half-Lightweight,No medal
