Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Nesar Bahawi,M,Afghanistan,AFG,2012,London,Taekwondo,Taekwondo Men's Welterweight,No medal
Masoud Azizi,M,Afghanistan,AFG,2012,London,Athletics,Athletics Men's 100 metres,No medal
Ajmal Faisal,M,Afghanistan,AFG,2012,London,Boxing,Boxing Men's Flyweight,No medal
Tahmina Kohistani,F,Afghanistan,AFG,2012,London,Athletics,Athletics Women's 100 metres,No medal
Ajmal Faizzada,M,Afghanistan,AFG,2012,London,Judo,Judo Men's Half-Lightweight,No medal
Rohullah Nikpai,M,Afghanistan,AFG,2012,London,Taekwondo,Taekwondo Men's Featherweight,Bronze
Adriatik Hoxha,M,Albania,ALB,2012,London,Athletics,Athletics Men's Shot Put,No medal
Majlinda Kelmendi,F,Albania,ALB,2012,London,Judo,Judo Women's Half-Lightweight,No medal
Sidni Hoxha,M,Albania,ALB,2012,London,Swimming,Swimming Men's 100 metres Freestyle,No medal
Endri Karina,M,Albania,ALB,2012,London,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal
Briken Calja,M,Albania,ALB,2012,London,Weightlifting,Weightlifting Men's Lightweight,No medal
Arben Kucana,M,Albania,ALB,2012,London,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
Romela Begaj,F,Albania,ALB,2012,London,Weightlifting,Weightlifting Women's Lightweight,No medal
Daniel Godelli,M,Albania,ALB,2012,London,Weightlifting,Weightlifting Men's Lightweight,No medal
Noel Borshi,F,Albania,ALB,2012,London,Swimming,Swimming Women's 100 metres Butterfly,No medal
Arben Kucana,M,Albania,ALB,2012,London,Shooting,"Shooting Men's Air Pistol, 10 metres",No medal
Mohamed Belabbas,M,Algeria,ALG,2012,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",No medal
Nawal Mansouri,F,Algeria,ALG,2012,London,Volleyball,Volleyball Women's Volleyball,No medal
Mokdad El-yamine,M,Algeria,ALG,2012,London,Taekwondo,Taekwondo Men's Flyweight,No medal
Rabah Aboud,M,Algeria,ALG,2012,London,Athletics,"Athletics Men's 5,000 metres",No medal
Taoufik Makhloufi,M,Algeria,ALG,2012,London,Athletics,Athletics Men's 800 metres,No medal
Taoufik Makhloufi,M,Algeria,ALG,2012,London,Athletics,"Athletics Men's 1,500 metres",Gold
Sehryne Hennaoui,F,Algeria,ALG,2012,London,Volleyball,Volleyball Women's Volleyball,No medal
Amina Rouba,F,Algeria,ALG,2012,London,Rowing,Rowing Women's Single Sculls,No medal
Azzadine Lagab,M,Algeria,ALG,2012,London,Cycling,"Cycling Men's Road Race, Individual",No medal
Anissa (-nassonenko),F,Algeria,ALG,2012,London,Fencing,"Fencing Women's Foil, Individual",No medal
Mohamed Serir,M,Algeria,ALG,2012,London,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",No medal
Souad (-mahour-bacha),F,Algeria,ALG,2012,London,Athletics,Athletics Women's Marathon,No medal
Tassadit Assou,F,Algeria,ALG,2012,London,Volleyball,Volleyball Women's Volleyball,No medal
