Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Bakhteyar Mangal,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Din Nuristani,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Ahmad Abouwi,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Ramazan Nuristani,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Noor Nuristani,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Abdul Nuristani,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Mohammad Nuristani,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Jahan Nuristani,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Ghazi Salah-ud-din,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Mohammad Sherzai,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Khan Totakhail,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Najam Yahya,M,Afghanistan,AFG,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Pedro Equioiz,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal
Pedro Equioiz,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal
Francisco Gelaberti,M,Argentina,ARG,1956,Melbourne,Boxing,Boxing Men's Welterweight,No medal
Santiago Gochetti,M,Argentina,ARG,1956,Melbourne,Fencing,"Fencing Men's epee, Individual",No medal
Santiago Gochetti,M,Argentina,ARG,1956,Melbourne,Fencing,"Fencing Men's Foil, Individual",No medal
Luis Ribera,M,Argentina,ARG,1956,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal
Alberto Martijena,M,Argentina,ARG,1956,Melbourne,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
Jorge Brown,M,Covunco III,ARG,1956,Melbourne,Sailing,Sailing Mixed Two Person Keelboat,No medal
Boris Belada,M,Pampero,ARG,1956,Melbourne,Sailing,Sailing Mixed Three Person Keelboat,No medal
Arnoldo Pekelharing,M,Pampero,ARG,1956,Melbourne,Sailing,Sailing Mixed Three Person Keelboat,No medal
Gnther Kruse,M,Argentina,ARG,1956,Melbourne,Athletics,Athletics Men's Discus Throw,No medal
Tristn Falfn,M,Argentina,ARG,1956,Melbourne,Boxing,Boxing Men's Featherweight,No medal
Adolfo Gutirrez,M,Argentina,ARG,1956,Melbourne,Wrestling,"Wrestling Men's Bantamweight, Freestyle",No medal
Adolfo Gutirrez,M,Argentina,ARG,1956,Melbourne,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",No medal
Abel Laudonio,M,Argentina,ARG,1956,Melbourne,Boxing,Boxing Men's Flyweight,No medal
Rodolfo Daz,M,Argentina,ARG,1956,Melbourne,Boxing,Boxing Men's Light-Heavyweight,No medal
Ovidio Lagos,M,Covunco III,ARG,1956,Melbourne,Sailing,Sailing Mixed Two Person Keelboat,No medal
Carmelo Tomaselli,M,Argentina,ARG,1956,Melbourne,Boxing,Boxing Men's Bantamweight,No medal
Francisco Nez,M,Argentina,ARG,1956,Melbourne,Boxing,Boxing Men's Lightweight,No medal
Alberto Senz,M,Argentina,ARG,1956,Melbourne,Boxing,Boxing Men's Light-Middleweight,No medal
Len Bozzi,M,Argentina,ARG,1956,Melbourne,Shooting,Shooting Men's Trap,No medal
Jos Giorgetti,M,Argentina,ARG,1956,Melbourne,Boxing,Boxing Men's Heavyweight,No medal
Isabel Neefe,F,Argentina,ARG,1956,Melbourne,Athletics,Athletics Women's Discus Throw,No medal
Juan Musso,M,Argentina,ARG,1956,Melbourne,Shooting,Shooting Men's Trap,No medal
Antonio Marcilla,M,Argentina,ARG,1956,Melbourne,Boxing,Boxing Men's Light-Welterweight,No medal
Eduardo Cano,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",No medal
Eduardo Cano,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",No medal
Juan Garbosa,M,Argentina,ARG,1956,Melbourne,Wrestling,"Wrestling Men's Lightweight, Freestyle",No medal
Juan Garbosa,M,Argentina,ARG,1956,Melbourne,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",No medal
Jorge Chvez,M,Pampero,ARG,1956,Melbourne,Sailing,Sailing Mixed Three Person Keelboat,No medal
Carlos Seigeshifer,M,Argentina,ARG,1956,Melbourne,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal
Esteban Berisso,M,Argentina,ARG,1956,Melbourne,Sailing,Sailing Mixed One Person Dinghy,No medal
Humberto Selvetti,M,Argentina,ARG,1956,Melbourne,Weightlifting,Weightlifting Men's Heavyweight,Silver
Oscar Rosando,M,Argentina,ARG,1956,Melbourne,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
Vctor Zalazar,M,Argentina,ARG,1956,Melbourne,Boxing,Boxing Men's Middleweight,Bronze
Naldo Dasso,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal
Naldo Dasso,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal
Jorge Cavoti,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal
Carlos Bustamante,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",No medal
Juan Merbilha,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",No medal
Carlos Larocca,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal
Juan Merbilha,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",No medal
Carlos Larocca,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Mixed Jumping, Team",No medal
Carlos Bustamante,M,Argentina,ARG,1956,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",No medal
Ian Wrigley,M,Australia,AUS,1956,Melbourne,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No medal
Alan Barblett,M,Australia,AUS,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Vesmonis Balodis,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's Discus Throw,No medal
Maureen Wright,F,Australia,AUS,1956,Melbourne,Athletics,Athletics Women's Javelin Throw,No medal
John Cann,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's Decathlon,No medal
Gerald Sichel,M,Australia,AUS,1956,Melbourne,Fencing,"Fencing Men's Foil, Team",No medal
Gerald Sichel,M,Australia,AUS,1956,Melbourne,Fencing,"Fencing Men's Foil, Individual",No medal
Ernest Barker,M,Australia,AUS,1956,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",No medal
Kevin Hogarth,M,Australia,AUS,1956,Melbourne,Boxing,Boxing Men's Welterweight,Bronze
Maurice Foley,M,Australia,AUS,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Ernest Barker,M,Australia,AUS,1956,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",No medal
Gavin Carragher,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Hector Hogan,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's 100 metres,Bronze
Hector Hogan,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Hector Hogan,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's 200 metres,No medal
Francis Maitland,M,Australia,AUS,1956,Melbourne,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
John Monckton,M,Australia,AUS,1956,Melbourne,Swimming,Swimming Men's 100 metres Backstroke,Silver
Norman Goff,M,Australia,AUS,1956,Melbourne,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No medal
Garth Manton,M,Australia,AUS,1956,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze
William Griffiths,M,Australia,AUS,1956,Melbourne,Boxing,Boxing Men's Lightweight,No medal
Robert Bignall,M,Australia,AUS,1956,Melbourne,Football,Football Men's Football,No medal
Nancy (-jarvis),F,Australia,AUS,1956,Melbourne,Athletics,Athletics Women's Long Jump,No medal
Anthony Marchant,M,Australia,AUS,1956,Melbourne,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Verdi Barberis,M,Australia,AUS,1956,Melbourne,Weightlifting,Weightlifting Men's Lightweight,No medal
Adele (-johnson),F,Australia,AUS,1956,Melbourne,Diving,Diving Women's Platform,No medal
Roland Tasker,M,Falcon IV,AUS,1956,Melbourne,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
Adrian Monger,M,Australia,AUS,1956,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze
Brian Blackburn,M,Australia,AUS,1956,Melbourne,Gymnastics,Gymnastics Men's Rings,No medal
Brian Blackburn,M,Australia,AUS,1956,Melbourne,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
Brian Blackburn,M,Australia,AUS,1956,Melbourne,Gymnastics,Gymnastics Men's Parallel Bars,No medal
Brian Blackburn,M,Australia,AUS,1956,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,No medal
Brian Blackburn,M,Australia,AUS,1956,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,No medal
Brian Blackburn,M,Australia,AUS,1956,Melbourne,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Brian Blackburn,M,Australia,AUS,1956,Melbourne,Gymnastics,Gymnastics Men's Horse Vault,No medal
Brian Blackburn,M,Australia,AUS,1956,Melbourne,Gymnastics,Gymnastics Men's Pommelled Horse,No medal
Charles Porter,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's High Jump,Silver
Sandor (szke),M,Australia,AUS,1956,Melbourne,Fencing,"Fencing Men's Sabre, Individual",No medal
Ronald Blackney,M,Australia,AUS,1956,Melbourne,Athletics,"Athletics Men's 3,000 metres Steeplechase",No medal
Sandor (szke),M,Australia,AUS,1956,Melbourne,Fencing,"Fencing Men's Sabre, Team",No medal
Donald Keane,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's 20 kilometres Walk,No medal
Edith (-pelluso),F,Australia,AUS,1956,Melbourne,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal
John Cockbill,M,Australia,AUS,1956,Melbourne,Rowing,Rowing Men's Coxed Pairs,No medal
Mervyn Wood,M,Australia,AUS,1956,Melbourne,Rowing,Rowing Men's Double Sculls,Bronze
Robert Duncan,M,Australia,AUS,1956,Melbourne,Rowing,Rowing Men's Coxed Pairs,No medal
Kevin Carton,M,Australia,AUS,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Barbara (-donnet),F,Australia,AUS,1956,Melbourne,Diving,Diving Women's Springboard,No medal
Barbara (-donnet),F,Australia,AUS,1956,Melbourne,Diving,Diving Women's Platform,No medal
James Wolfensohn,M,Australia,AUS,1956,Melbourne,Fencing,"Fencing Men's epee, Team",No medal
Graham Gipson,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's 200 metres,No medal
Graham Gipson,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's 400 metres,No medal
Graham Gipson,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Denise (-wild),F,Australia,AUS,1956,Melbourne,Fencing,"Fencing Women's Foil, Individual",No medal
Peter Sutton,M,Australia,AUS,1956,Melbourne,Basketball,Basketball Men's Basketball,No medal
Charles Morris,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's Hammer Throw,No medal
Dennis Kemp,M,Australia,AUS,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Bruce Morrow,M,Australia,AUS,1956,Melbourne,Football,Football Men's Football,No medal
Michael Moroney,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's Long Jump,No medal
Ronald Sweeney,M,Australia,AUS,1956,Melbourne,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",No medal
Kenneth Finch,M,Australia,AUS,1956,Melbourne,Basketball,Basketball Men's Basketball,No medal
Sandra (-beavis),F,Australia,AUS,1956,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Sandra (-beavis),F,Australia,AUS,1956,Melbourne,Swimming,Swimming Women's 400 metres Freestyle,No medal
Ivan Lund,M,Australia,AUS,1956,Melbourne,Fencing,"Fencing Men's epee, Individual",No medal
Ivan Lund,M,Australia,AUS,1956,Melbourne,Fencing,"Fencing Men's epee, Team",No medal
Roy Moore,M,Australia,AUS,1956,Melbourne,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal
John Foster,M,Australia,AUS,1956,Melbourne,Water Polo,Water Polo Men's Water Polo,No medal
Barry Holmes,M,Australia,AUS,1956,Melbourne,Diving,Diving Men's Platform,No medal
Kenneth Clarke,M,Australia,AUS,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Edward Pierce,M,Australia,AUS,1956,Melbourne,Water Polo,Water Polo Men's Water Polo,No medal
Maxwell Baldwin,M,Australia,AUS,1956,Melbourne,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",No medal
John Dwyer,M,Australia,AUS,1956,Melbourne,Hockey,Hockey Men's Hockey,No medal
Stuart Mackenzie,M,Australia,AUS,1956,Melbourne,Rowing,Rowing Men's Single Sculls,Silver
Vitezslav Macha,M,Australia,AUS,1956,Melbourne,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
Mervyn Moy,M,Australia,AUS,1956,Melbourne,Basketball,Basketball Men's Basketball,No medal
Iain Rose,M,Australia,AUS,1956,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Donald Macmillan,M,Australia,AUS,1956,Melbourne,Athletics,Athletics Men's 800 metres,No medal
Beverly (-spargo),F,Australia,AUS,1956,Melbourne,Swimming,Swimming Women's 100 metres Butterfly,No medal
David Power,M,Australia,AUS,1956,Melbourne,Athletics,"Athletics Men's 10,000 metres",No medal
Clement Mudford,M,Australia,AUS,1956,Melbourne,Shooting,Shooting Men's Trap,No medal
Antony Madigan,M,Australia,AUS,1956,Melbourne,Boxing,Boxing Men's Light-Heavyweight,No medal
Iain Rose,M,Australia,AUS,1956,Melbourne,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
