Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Angel Rodrguez,M,Argentina,ARG,1920,Antwerpen,Boxing,Boxing Men's Featherweight,No medal
Wilfred Kent-hughes,M,Australia,AUS,1920,Antwerpen,Athletics,Athletics Men's 110 metres Hurdles,No medal
Wilfred Kent-hughes,M,Australia,AUS,1920,Antwerpen,Athletics,Athletics Men's 400 metres Hurdles,No medal
Lillian (-clarke),F,Australia,AUS,1920,Antwerpen,Swimming,Swimming Women's 100 metres Freestyle,No medal
Lillian (-clarke),F,Australia,AUS,1920,Antwerpen,Diving,Diving Women's Plain High,No medal
Lillian (-clarke),F,Australia,AUS,1920,Antwerpen,Swimming,Swimming Women's 300 metres Freestyle,No medal
Francis Beaurepaire,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Francis Beaurepaire,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 400 metres Freestyle,No medal
Francis Beaurepaire,M,Australia,AUS,1920,Antwerpen,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Harry Hay,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Harry Hay,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 400 metres Freestyle,No medal
Harry Hay,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 100 metres Freestyle,No medal
William Herald,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
William Herald,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 100 metres Freestyle,No medal
Thomas Hewitt,M,Australia,AUS,1920,Antwerpen,Athletics,Athletics Men's Marathon,No medal
Thomas Hewitt,M,Australia,AUS,1920,Antwerpen,Athletics,"Athletics Men's 10,000 metres",No medal
Gerald Halpin,M,Australia,AUS,1920,Antwerpen,Cycling,Cycling Men's Sprint,No medal
Ronald Thomas,M,Australia,AUS,1920,Antwerpen,Tennis,Tennis Men's Singles,No medal
Ivan Stedman,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 100 metres Freestyle,No medal
Ivan Stedman,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Ivan Stedman,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,No medal
Jack King,M,Australia,AUS,1920,Antwerpen,Cycling,Cycling Men's Sprint,No medal
George Parker,M,Australia,AUS,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres Walk",Silver
George Parker,M,Australia,AUS,1920,Antwerpen,Athletics,Athletics Men's 10 kilometres Walk,No medal
Jack King,M,Australia,AUS,1920,Antwerpen,Cycling,Cycling Men's 50 kilometres,No medal
Keith Kirkland,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 400 metres Freestyle,No medal
Keith Kirkland,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Keith Kirkland,M,Australia,AUS,1920,Antwerpen,Swimming,Swimming Men's 100 metres Freestyle,No medal
William Hunt,M,Australia,AUS,1920,Antwerpen,Athletics,Athletics Men's 200 metres,No medal
William Hunt,M,Australia,AUS,1920,Antwerpen,Athletics,Athletics Men's 100 metres,No medal
Lon (utterwulghe-),M,Belgium,BEL,1920,Antwerpen,Water Polo,Water Polo Men's Water Polo,Silver
Fernand Montigny,M,Belgium,BEL,1920,Antwerpen,Fencing,"Fencing Men's epee, Individual",No medal
Ernest Gevers,M,Belgium,BEL,1920,Antwerpen,Fencing,"Fencing Men's epee, Team",Silver
Ernest Gevers,M,Belgium,BEL,1920,Antwerpen,Fencing,"Fencing Men's epee, Individual",No medal
Henri Pintens,M,Belgium,BEL,1920,Antwerpen,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze
Charles Wiggers,M,Belgium,BEL,1920,Antwerpen,Athletics,Athletics Men's 10 kilometres Walk,No medal
Charles Wiggers,M,Belgium,BEL,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres Walk",No medal
Philippe Bovy,M,Belgium,BEL,1920,Antwerpen,Boxing,Boxing Men's Featherweight,No medal
Paul Gailly,M,Belgium,BEL,1920,Antwerpen,Water Polo,Water Polo Men's Water Polo,Silver
Maurice Blitz,M,Belgium,BEL,1920,Antwerpen,Water Polo,Water Polo Men's Water Polo,Silver
Grard Jr.,M,Belgium,BEL,1920,Antwerpen,Water Polo,Water Polo Men's Water Polo,Silver
Grard Jr.,M,Belgium,BEL,1920,Antwerpen,Swimming,Swimming Men's 100 metres Freestyle,No medal
Grard Jr.,M,Belgium,BEL,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No medal
