Rank,NOC,Gold,Silver,Bronze,Total,Year
9,Denmark,1,2,3,6,1896
10,Denmark,1,3,2,6,1900
16,Denmark,0,2,3,5,1908
14,Denmark,1,6,5,12,1912
10,Denmark,3,9,1,13,1920
12,Denmark,2,5,2,9,1924
13,Denmark,3,1,2,6,1928
20,Denmark,0,5,3,8,1932
23,Denmark,0,2,3,5,1936
10,Denmark,5,7,8,20,1948
15,Denmark,2,1,3,6,1952
20,Denmark,1,2,1,4,1956
13,Denmark,2,3,1,6,1960
18,Denmark,2,1,3,6,1964
22,Denmark,1,4,3,8,1968
25,Denmark,1,0,0,1,1972
24,Denmark,1,0,2,3,1976
16,Denmark,2,1,2,5,1980
27,Denmark,0,3,3,6,1984
23,Denmark,2,1,1,4,1988
30,Denmark,1,1,4,6,1992
19,Denmark,4,1,1,6,1996
30,Denmark,2,3,1,6,2000
34,Denmark,2,1,5,8,2004
30,Denmark,2,2,3,7,2008
30,Denmark,2,4,3,9,2012
27,Denmark,2,6,7,15,2016
25,Denmark,3,4,4,11,2020
29,Denmark,2,2,5,9,2024
