Rank,NOC,Gold,Silver,Bronze,Total,Year
17,Japan,0,2,0,2,1920
23,Japan,0,0,1,1,1924
15,Japan,2,2,1,5,1928
5,Japan,7,7,4,18,1932
8,Japan,6,4,10,20,1936
17,Japan,1,6,2,9,1952
10,Japan,4,10,5,19,1956
8,Japan,4,7,7,18,1960
3,Japan,16,5,8,29,1964
3,Japan,11,7,7,25,1968
5,Japan,13,8,8,29,1972
5,Japan,9,6,10,25,1976
7,Japan,10,8,14,32,1984
14,Japan,4,3,7,14,1988
17,Japan,3,8,11,22,1992
23,Japan,3,6,5,14,1996
15,Japan,5,8,5,18,2000
5,Japan,16,9,12,37,2004
8,Japan,9,8,8,25,2008
11,Japan,7,14,17,38,2012
6,Japan,12,8,21,41,2016
3,Japan,27,14,17,58,2020
3,Japan,20,12,13,45,2024
