Rank,NOC,Gold,Silver,Bronze,Total,Year
32,South Korea,0,0,2,2,1948
37,South Korea,0,0,2,2,1952
29,South Korea,0,1,1,2,1956
27,South Korea,0,2,1,3,1964
36,South Korea,0,1,1,2,1968
33,South Korea,0,1,0,1,1972
19,South Korea,1,1,4,6,1976
10,South Korea,6,6,7,19,1984
4,South Korea,12,10,11,33,1988
7,South Korea,12,5,12,29,1992
10,South Korea,7,15,5,27,1996
12,South Korea,8,10,10,28,2000
9,South Korea,9,12,9,30,2004
7,South Korea,13,11,8,32,2008
5,South Korea,13,9,9,31,2012
8,South Korea,9,3,9,21,2016
16,South Korea,6,4,10,20,2020
8,South Korea,13,9,10,32,2024
