Rank,NOC,Gold,Silver,Bronze,Total,Year
3,Germany,6,5,2,13,1896
7,Germany,4,3,2,9,1900
2,Germany,4,5,6,15,1904
5,Germany,3,5,5,13,1908
6,Germany,5,13,7,25,1912
2,Germany,10,7,14,31,1928
7,Germany,5,12,7,24,1932
1,Germany,38,31,32,101,1936
28,Germany,0,7,17,24,1952
3,Germany,33,21,28,82,1992
3,Germany,20,18,27,65,1996
5,Germany,13,17,26,56,2000
6,Germany,13,16,20,49,2004
5,Germany,16,11,14,41,2008
6,Germany,11,20,13,44,2012
5,Germany,17,10,15,42,2016
9,Germany,10,11,16,37,2020
10,Germany,12,13,8,33,2024
