Rank,NOC,Gold,Silver,Bronze,Total,Year
17,Norway,0,2,3,5,1900
7,Norway,2,0,0,2,1904
8,Norway,2,3,3,8,1908
8,Norway,3,2,5,10,1912
6,Norway,13,9,9,31,1920
7,Norway,5,2,3,10,1924
19,Norway,1,2,1,4,1928
18,Norway,1,3,2,6,1936
19,Norway,1,3,3,7,1948
10,Norway,3,2,0,5,1952
22,Norway,1,0,2,3,1956
21,Norway,1,0,0,1,1960
25,Norway,1,1,0,2,1968
21,Norway,2,1,1,4,1972
21,Norway,1,1,0,2,1976
28,Norway,0,1,2,3,1984
21,Norway,2,3,0,5,1988
22,Norway,2,4,1,7,1992
30,Norway,2,2,3,7,1996
19,Norway,4,3,3,10,2000
17,Norway,5,0,1,6,2004
22,Norway,3,5,1,9,2008
34,Norway,2,1,1,4,2012
74,Norway,0,0,4,4,2016
20,Norway,4,2,2,8,2020
18,Norway,4,1,3,8,2024
