Rank,NOC,Gold,Silver,Bronze,Total,Year
13,Canada,1,0,1,2,1900
3,Canada,4,1,1,6,1904
7,Canada,3,3,10,16,1908
9,Canada,3,2,3,8,1912
12,Canada,3,3,3,9,1920
20,Canada,0,3,1,4,1924
10,Canada,4,4,7,15,1928
13,Canada,2,5,9,16,1932
17,Canada,1,3,5,9,1936
25,Canada,0,1,2,3,1948
21,Canada,1,2,0,3,1952
15,Canada,2,1,3,6,1956
32,Canada,0,1,0,1,1960
22,Canada,1,2,1,4,1964
23,Canada,1,3,1,5,1968
27,Canada,0,2,3,5,1972
27,Canada,0,5,6,11,1976
6,Canada,10,18,16,44,1984
19,Canada,3,2,5,10,1988
11,Canada,7,4,7,18,1992
21,Canada,3,11,8,22,1996
24,Canada,3,3,8,14,2000
21,Canada,3,6,3,12,2004
20,Canada,3,9,8,20,2008
27,Canada,2,6,10,18,2012
20,Canada,4,3,15,22,2016
11,Canada,7,7,10,24,2020
12,Canada,9,7,11,27,2024
