Rank,NOC,Gold,Silver,Bronze,Total,Year
6,Hungary,2,1,3,6,1896
11,Hungary,1,2,2,5,1900
5,Hungary,2,1,1,4,1904
6,Hungary,3,4,2,9,1908
9,Hungary,3,2,3,8,1912
13,Hungary,2,3,4,9,1924
9,Hungary,4,5,0,9,1928
6,Hungary,6,5,5,16,1932
3,Hungary,10,1,5,16,1936
4,Hungary,10,5,12,27,1948
3,Hungary,16,10,16,42,1952
4,Hungary,9,10,7,26,1956
7,Hungary,6,8,7,21,1960
6,Hungary,10,7,5,22,1964
4,Hungary,10,10,12,32,1968
8,Hungary,6,13,16,35,1972
10,Hungary,4,5,13,22,1976
6,Hungary,7,10,15,32,1980
6,Hungary,11,6,6,23,1988
8,Hungary,11,12,7,30,1992
12,Hungary,7,4,10,21,1996
13,Hungary,8,6,3,17,2000
12,Hungary,8,6,3,17,2004
21,Hungary,3,5,2,10,2008
10,Hungary,8,4,6,18,2012
12,Hungary,8,3,4,15,2016
15,Hungary,6,7,7,20,2020
14,Hungary,6,7,6,19,2024
