Rank,NOC,Gold,Silver,Bronze,Total,Year
8,Australia,2,0,0,2,1896
9,Australia,2,0,3,5,1900
12,Australia,0,3,1,4,1904
16,Australia,0,2,1,3,1920
11,Australia,3,1,2,6,1924
19,Australia,1,2,1,4,1928
11,Australia,3,1,1,5,1932
30,Australia,0,0,1,1,1936
14,Australia,2,6,5,13,1948
9,Australia,6,2,3,11,1952
3,Australia,13,8,14,35,1956
5,Australia,8,8,6,22,1960
8,Australia,6,2,10,18,1964
9,Australia,5,7,5,17,1968
6,Australia,8,7,2,17,1972
32,Australia,0,1,4,5,1976
15,Australia,2,2,5,9,1980
14,Australia,4,8,12,24,1984
15,Australia,3,6,5,14,1988
10,Australia,7,9,11,27,1992
7,Australia,9,9,23,41,1996
4,Australia,16,25,17,58,2000
4,Australia,17,16,17,50,2004
6,Australia,14,15,17,46,2008
8,Australia,8,15,12,35,2012
10,Australia,8,11,10,29,2016
6,Australia,17,7,22,46,2020
4,Australia,18,19,16,53,2024
