Rank,NOC,Gold,Silver,Bronze,Total,Year
1,United States,11,7,2,20,1896
2,United States,19,14,15,48,1900
1,United States,76,78,77,231,1904
2,United States,23,12,12,47,1908
1,United States,26,19,19,64,1912
1,United States,41,27,27,95,1920
1,United States,45,27,27,99,1924
1,United States,22,18,16,56,1928
1,United States,44,36,30,110,1932
2,United States,24,21,12,57,1936
1,United States,38,27,19,84,1948
1,United States,40,19,17,76,1952
2,United States,32,25,17,74,1956
2,United States,34,21,16,71,1960
1,United States,36,26,28,90,1964
1,United States,45,28,34,107,1968
2,United States,33,31,30,94,1972
3,United States,34,35,25,94,1976
1,United States,83,61,30,174,1984
3,United States,36,31,27,94,1988
2,United States,37,34,37,108,1992
1,United States,44,32,25,101,1996
1,United States,37,24,32,93,2000
1,United States,36,39,26,101,2004
2,United States,36,39,37,112,2008
1,United States,48,26,30,104,2012
1,United States,46,37,38,121,2016
1,United States,39,41,33,113,2020
1,United States,40,44,42,126,2024
