Rank,NOC,Gold,Silver,Bronze,Total,Year
22,Poland,0,1,1,2,1924
21,Poland,1,1,3,5,1928
10,Poland,3,2,4,9,1932
22,Poland,0,4,5,9,1936
34,Poland,0,0,1,1,1948
20,Poland,1,2,1,4,1952
17,Poland,1,4,4,9,1956
9,Poland,4,6,11,21,1960
7,Poland,7,6,10,23,1964
11,Poland,5,2,11,18,1968
7,Poland,7,5,9,21,1972
6,Poland,7,6,13,26,1976
10,Poland,3,14,15,32,1980
20,Poland,2,5,9,16,1988
19,Poland,3,6,10,19,1992
11,Poland,7,5,5,17,1996
14,Poland,6,5,3,14,2000
23,Poland,3,2,5,10,2004
16,Poland,4,5,2,11,2008
23,Poland,3,2,6,11,2012
33,Poland,2,3,6,11,2016
17,Poland,4,5,5,14,2020
42,Poland,1,4,5,10,2024
