Rank,NOC,Gold,Silver,Bronze,Total,Year
16,Argentina,1,3,2,6,1924
12,Argentina,3,3,1,7,1928
12,Argentina,3,1,0,4,1932
14,Argentina,2,2,3,7,1936
13,Argentina,3,3,1,7,1948
19,Argentina,1,2,2,5,1952
29,Argentina,0,1,1,2,1956
30,Argentina,0,1,1,2,1960
30,Argentina,0,1,0,1,1964
41,Argentina,0,0,2,2,1968
33,Argentina,0,1,0,1,1972
35,Argentina,0,1,1,2,1988
54,Argentina,0,0,1,1,1992
54,Argentina,0,2,1,3,1996
57,Argentina,0,2,2,4,2000
38,Argentina,2,0,4,6,2004
35,Argentina,2,0,4,6,2008
42,Argentina,1,1,2,4,2012
26,Argentina,3,1,0,4,2016
72,Argentina,0,1,2,3,2020
52,Argentina,1,1,1,3,2024
