Rank,NOC,Gold,Silver,Bronze,Total,Year
13,Finland,1,1,3,5,1908
4,Finland,9,8,9,26,1912
3,Finland,15,10,9,34,1920
2,Finland,14,13,10,37,1924
3,Finland,8,8,9,25,1928
8,Finland,5,8,12,25,1932
5,Finland,8,6,6,20,1936
6,Finland,8,7,5,20,1948
8,Finland,6,3,13,22,1952
13,Finland,3,1,11,15,1956
17,Finland,1,1,3,5,1960
12,Finland,3,0,2,5,1964
24,Finland,1,2,1,4,1968
14,Finland,3,1,4,8,1972
11,Finland,4,2,0,6,1976
12,Finland,3,1,4,8,1980
15,Finland,4,2,6,12,1984
25,Finland,1,1,2,4,1988
29,Finland,1,2,2,5,1992
40,Finland,1,2,1,4,1996
31,Finland,2,1,1,4,2000
61,Finland,0,2,0,2,2004
44,Finland,1,1,2,4,2008
60,Finland,0,2,1,3,2012
78,Finland,0,0,1,1,2016
85,Finland,0,0,2,2,2020
