Rank,NOC,Gold,Silver,Bronze,Total,Year
2,Greece,10,18,19,47,1896
11,Greece,1,0,1,2,1904
15,Greece,0,3,1,4,1908
15,Greece,1,0,1,2,1912
19,Greece,0,1,0,1,1920
35,Greece,0,0,1,1,1956
21,Greece,1,0,0,1,1960
42,Greece,0,0,1,1,1968
29,Greece,0,2,0,2,1972
22,Greece,1,0,2,3,1980
30,Greece,0,1,1,2,1984
46,Greece,0,0,1,1,1988
26,Greece,2,0,0,2,1992
16,Greece,4,4,0,8,1996
17,Greece,4,6,3,13,2000
15,Greece,6,6,4,16,2004
60,Greece,0,2,1,3,2008
77,Greece,0,0,2,2,2012
25,Greece,3,1,2,6,2016
36,Greece,2,1,1,4,2020
51,Greece,1,1,6,8,2024
