Rank,NOC,Gold,Silver,Bronze,Total,Year
5,Belgium,6,7,4,17,1900
10,Belgium,1,5,2,8,1908
13,Belgium,2,1,3,6,1912
5,Belgium,14,11,11,36,1920
10,Belgium,3,7,3,13,1924
29,Belgium,0,1,2,3,1928
26,Belgium,0,0,1,1,1932
28,Belgium,0,0,3,3,1936
15,Belgium,2,2,3,7,1948
14,Belgium,2,2,0,4,1952
28,Belgium,0,2,0,2,1956
26,Belgium,0,2,2,4,1960
20,Belgium,2,0,1,3,1964
36,Belgium,0,1,1,2,1968
29,Belgium,0,2,0,2,1972
28,Belgium,0,3,3,6,1976
23,Belgium,1,0,0,1,1980
21,Belgium,1,1,2,4,1984
44,Belgium,0,0,2,2,1988
44,Belgium,0,1,2,3,1992
31,Belgium,2,2,2,6,1996
55,Belgium,0,2,3,5,2000
51,Belgium,1,0,2,3,2004
37,Belgium,2,0,0,2,2008
64,Belgium,0,1,2,3,2012
35,Belgium,2,2,2,6,2016
29,Belgium,3,1,3,7,2020
25,Belgium,3,1,6,10,2024
