Rank,NOC,Gold,Silver,Bronze,Total,Year
21,Mexico,0,2,0,2,1932
28,Mexico,0,0,3,3,1936
17,Mexico,2,1,2,5,1948
34,Mexico,0,1,0,1,1952
23,Mexico,1,0,1,2,1956
41,Mexico,0,0,1,1,1960
35,Mexico,0,0,1,1,1964
15,Mexico,3,3,3,9,1968
33,Mexico,0,1,0,1,1972
25,Mexico,1,0,1,2,1976
29,Mexico,0,1,3,4,1980
17,Mexico,2,3,1,6,1984
44,Mexico,0,0,2,2,1988
49,Mexico,0,1,0,1,1992
71,Mexico,0,0,1,1,1996
40,Mexico,1,2,3,6,2000
59,Mexico,0,3,1,4,2004
36,Mexico,2,0,2,4,2008
39,Mexico,1,3,4,8,2012
61,Mexico,0,3,2,5,2016
84,Mexico,0,0,4,4,2020
65,Mexico,0,3,2,5,2024
