Rank,NOC,Gold,Silver,Bronze,Total,Year
15,Brazil,1,1,1,3,1920
34,Brazil,0,0,1,1,1948
24,Brazil,1,0,2,3,1952
24,Brazil,1,0,0,1,1956
39,Brazil,0,0,2,2,1960
35,Brazil,0,0,1,1,1964
35,Brazil,0,1,2,3,1968
41,Brazil,0,0,2,2,1972
36,Brazil,0,0,2,2,1976
17,Brazil,2,0,2,4,1980
19,Brazil,1,5,2,8,1984
24,Brazil,1,2,3,6,1988
25,Brazil,2,1,0,3,1992
25,Brazil,3,3,9,15,1996
53,Brazil,0,6,6,12,2000
16,Brazil,5,2,3,10,2004
23,Brazil,3,4,10,17,2008
22,Brazil,3,5,9,17,2012
13,Brazil,7,6,6,19,2016
12,Brazil,7,6,8,21,2020
20,Brazil,3,7,10,20,2024
