Rank,NOC,Gold,Silver,Bronze,Total,Year
5,Great Britain,2,3,2,7,1896
3,Great Britain,15,7,9,31,1900
9,Great Britain,1,1,0,2,1904
1,Great Britain,56,51,39,146,1908
3,Great Britain,10,15,16,41,1912
4,Great Britain,14,15,13,42,1920
4,Great Britain,9,13,12,34,1924
11,Great Britain,3,10,7,20,1928
9,Great Britain,5,7,5,17,1932
12,Great Britain,4,7,3,14,1936
12,Great Britain,3,14,6,23,1948
18,Great Britain,1,2,8,11,1952
8,Great Britain,6,7,11,24,1956
12,Great Britain,2,6,12,20,1960
10,Great Britain,4,12,2,18,1964
10,Great Britain,5,5,3,13,1968
12,Great Britain,4,5,9,18,1972
13,Great Britain,3,5,5,13,1976
9,Great Britain,5,7,9,21,1980
11,Great Britain,5,11,21,37,1984
12,Great Britain,5,10,9,24,1988
13,Great Britain,5,3,12,20,1992
36,Great Britain,1,8,6,15,1996
10,Great Britain,11,10,7,28,2000
10,Great Britain,9,9,12,30,2004
4,Great Britain,19,13,19,51,2008
3,Great Britain,29,18,18,65,2012
2,Great Britain,27,23,17,67,2016
4,Great Britain,22,20,22,64,2020
7,Great Britain,14,22,29,65,2024
