Rank,NOC,Gold,Silver,Bronze,Total,Year
21,Czechoslovakia,0,0,2,2,1920
15,Czechoslovakia,1,4,5,10,1924
14,Czechoslovakia,2,5,2,9,1928
17,Czechoslovakia,1,3,2,6,1932
13,Czechoslovakia,3,5,1,9,1936
8,Czechoslovakia,6,2,3,11,1948
6,Czechoslovakia,7,3,3,13,1952
18,Czechoslovakia,1,4,1,6,1956
10,Czechoslovakia,3,2,3,8,1960
9,Czechoslovakia,5,6,3,14,1964
7,Czechoslovakia,7,2,4,13,1968
18,Czechoslovakia,2,4,2,8,1972
17,Czechoslovakia,2,2,4,8,1976
13,Czechoslovakia,2,3,9,14,1980
17,Czechoslovakia,3,3,2,8,1988
15,Czechoslovakia,4,2,1,7,1992
