Rank,NOC,Gold,Silver,Bronze,Total,Year
14,South Africa,1,1,0,2,1908
7,South Africa,4,2,0,6,1912
11,South Africa,3,4,3,10,1920
18,South Africa,1,1,1,3,1924
23,South Africa,1,0,2,3,1928
15,South Africa,2,0,3,5,1932
25,South Africa,0,1,0,1,1936
18,South Africa,2,1,1,4,1948
12,South Africa,2,4,4,10,1952
33,South Africa,0,0,4,4,1956
28,South Africa,0,1,2,3,1960
41,South Africa,0,2,0,2,1992
27,South Africa,3,1,1,5,1996
55,South Africa,0,2,3,5,2000
43,South Africa,1,3,2,6,2004
72,South Africa,0,1,0,1,2008
20,South Africa,4,1,1,6,2012
29,South Africa,2,6,2,10,2016
52,South Africa,1,2,0,3,2020
44,South Africa,1,3,2,6,2024
