Rank,NOC,Gold,Silver,Bronze,Total,Year
7,Austria,2,1,2,5,1896
16,Austria,0,3,3,6,1900
8,Austria,1,1,1,3,1904
19,Austria,0,0,1,1,1908
17,Austria,0,2,2,4,1912
20,Austria,0,3,1,4,1924
18,Austria,2,0,1,3,1928
18,Austria,1,1,3,5,1932
10,Austria,5,7,5,17,1936
21,Austria,1,0,3,4,1948
32,Austria,0,1,1,2,1952
34,Austria,0,0,2,2,1956
18,Austria,1,1,0,2,1960
32,Austria,0,2,2,4,1968
31,Austria,0,1,2,3,1972
37,Austria,0,0,1,1,1976
21,Austria,1,2,1,4,1980
22,Austria,1,1,1,3,1984
29,Austria,1,0,0,1,1988
41,Austria,0,2,0,2,1992
57,Austria,0,1,2,3,1996
32,Austria,2,1,0,3,2000
27,Austria,2,4,1,7,2004
64,Austria,0,1,2,3,2008
78,Austria,0,0,1,1,2016
53,Austria,1,1,5,7,2020
36,Austria,2,0,3,5,2024
