Rank,NOC,Gold,Silver,Bronze,Total,Year
40,Bulgaria,0,0,1,1,1952
19,Bulgaria,1,3,1,5,1956
15,Bulgaria,1,3,3,7,1960
11,Bulgaria,3,5,2,10,1964
18,Bulgaria,2,4,3,9,1968
9,Bulgaria,6,10,5,21,1972
7,Bulgaria,6,9,7,22,1976
3,Bulgaria,8,16,17,41,1980
7,Bulgaria,10,12,13,35,1988
18,Bulgaria,3,7,6,16,1992
22,Bulgaria,3,7,5,15,1996
16,Bulgaria,5,6,2,13,2000
33,Bulgaria,2,1,9,12,2004
42,Bulgaria,1,1,3,5,2008
60,Bulgaria,0,2,1,3,2012
66,Bulgaria,0,1,2,3,2016
30,Bulgaria,3,1,2,6,2020
26,Bulgaria,3,1,3,7,2024
