NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score,coach
USA,Volleyball,2024,0,13,13,26,26,195,1
USA,Volleyball,2020,12,0,0,12,24,120,1
USA,Volleyball,2016,0,0,24,24,24,168,1
USA,Volleyball,2012,0,12,0,12,24,96,1
USA,Volleyball,2008,12,12,0,24,24,216,1
USA,Volleyball,2004,0,0,0,0,24,0,0
USA,Volleyball,2000,0,0,0,0,24,0,0
USA,Volleyball,1996,0,0,0,0,23,0,0
USA,Volleyball,1992,0,0,24,24,24,168,0
USA,Volleyball,1988,12,0,0,12,24,120,0
USA,Volleyball,1984,12,12,0,24,24,216,0
USA,Volleyball,1968,0,0,0,0,24,0,0
USA,Volleyball,1964,0,0,0,0,24,0,0
