NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score
GBR,Badminton,2024,0,0,0,0,3,0
GBR,Trampoline Gymnastics,2024,1,0,0,1,3,10
GBR,Tennis,2024,0,0,0,0,11,0
GBR,Triathlon,2024,1,0,1,2,5,17
GBR,Boxing,2024,0,0,1,1,6,7
GBR,Canoe Slalom,2024,0,2,2,4,8,30
GBR,Taekwondo,2024,0,1,0,1,4,8
GBR,Table Tennis,2024,0,0,0,0,2,0
GBR,Athletics,2024,1,9,30,40,93,292
GBR,Cycling Road,2024,0,1,0,1,8,8
GBR,Cycling BMX Racing,2024,0,0,0,0,4,0
GBR,Modern Pentathlon,2024,0,0,0,0,4,0
GBR,Artistic Gymnastics,2024,0,0,2,2,76,14
GBR,Artistic Swimming,2024,0,2,0,2,2,16
GBR,Judo,2024,0,0,0,0,5,0
GBR,Marathon Swimming,2024,0,0,0,0,3,0
GBR,Hockey,2024,0,0,0,0,34,0
GBR,Weightlifting,2024,0,0,1,1,1,7
GBR,Archery,2024,0,0,0,0,14,0
GBR,Golf,2024,0,1,0,1,4,8
GBR,Equestrian,2024,8,0,6,14,22,122
GBR,Diving,2024,0,2,7,9,16,65
GBR,Cycling BMX Freestyle,2024,0,1,0,1,2,8
GBR,Cycling Track,2024,4,11,9,24,40,191
GBR,Cycling Mountain Bike,2024,0,0,0,0,3,0
GBR,Shooting,2024,1,1,0,2,10,18
GBR,Skateboarding,2024,0,0,1,1,3,7
GBR,Swimming,2024,6,4,0,10,71,92
GBR,Rugby Sevens,2024,0,0,0,0,14,0
GBR,"Cycling Road, Cycling Mountain Bike",2024,0,0,0,0,2,0
GBR,Rowing,2024,15,6,15,36,42,303
GBR,Sailing,2024,1,0,1,2,14,17
GBR,Sport Climbing,2024,1,0,0,1,4,10
GBR,Taekwondo,2020,0,2,1,3,5,23
GBR,Canoe Sprint,2020,0,0,1,1,6,7
GBR,Boxing,2020,2,2,2,6,11,50
GBR,Swimming,2020,12,7,1,20,64,183
GBR,Shooting,2020,0,0,1,1,8,7
