NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score
JPN,Artistic Swimming,2024,0,0,0,0,11,0
JPN,Wrestling,2024,8,1,2,11,13,102
JPN,Athletics,2024,1,0,0,1,64,10
JPN,Artistic Gymnastics,2024,7,0,1,8,70,77
JPN,Sailing,2024,0,2,0,2,7,16
JPN,Sport Climbing,2024,0,1,0,1,4,8
JPN,Cycling Road,2024,0,0,0,0,2,0
JPN,Cycling Mountain Bike,2024,0,0,0,0,1,0
JPN,Tennis,2024,0,0,0,0,10,0
JPN,Table Tennis,2024,0,3,1,4,12,31
JPN,Golf,2024,0,0,1,1,4,7
JPN,Marathon Swimming,2024,0,0,0,0,2,0
JPN,Badminton,2024,0,0,4,4,12,28
JPN,Judo,2024,3,15,3,21,28,171
JPN,Canoe Slalom,2024,0,0,0,0,7,0
JPN,Boxing,2024,0,0,0,0,2,0
JPN,Breaking,2024,1,0,0,1,4,10
JPN,Handball,2024,0,0,0,0,14,0
JPN,Hockey,2024,0,0,0,0,16,0
JPN,Modern Pentathlon,2024,0,1,0,1,2,8
JPN,Rowing,2024,0,0,0,0,5,0
JPN,Weightlifting,2024,0,0,0,0,3,0
JPN,Beach Volleyball,2024,0,0,0,0,2,0
JPN,Rugby Sevens,2024,0,0,0,0,26,0
JPN,Basketball,2024,0,0,0,0,24,0
JPN,Water Polo,2024,0,0,0,0,13,0
JPN,Volleyball,2024,0,0,0,0,26,0
JPN,Triathlon,2024,0,0,0,0,3,0
JPN,Archery,2024,0,0,0,0,9,0
JPN,Cycling BMX Racing,2024,0,0,0,0,2,0
JPN,Cycling BMX Freestyle,2024,0,0,0,0,1,0
JPN,Fencing,2024,5,4,8,17,30,138
JPN,Swimming,2024,0,1,0,1,50,8
JPN,Cycling Track,2024,0,0,0,0,34,0
JPN,Equestrian,2024,0,0,4,4,15,28
JPN,Shooting,2024,0,0,0,0,6,0
JPN,Trampoline Gymnastics,2024,0,0,0,0,2,0
JPN,Skateboarding,2024,2,2,0,4,10,36
JPN,Surfing,2024,0,0,0,0,4,0
JPN,Football,2024,0,0,0,0,43,0
JPN,Diving,2024,0,1,0,1,5,8
JPN,Swimming,2020,2,1,0,3,58,28
JPN,Triathlon,2020,0,0,0,0,8,0
JPN,Water Polo,2020,0,0,0,0,26,0
JPN,Artistic Swimming,2020,0,0,0,0,10,0
JPN,Sailing,2020,0,0,0,0,15,0
JPN,Rowing,2020,0,0,0,0,3,0
