NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score
FRA,Archery,2024,0,3,1,4,14,31
FRA,Hockey,2024,0,0,0,0,35,0
FRA,Basketball,2024,0,24,0,24,24,192
FRA,Golf,2024,0,0,0,0,4,0
FRA,Modern Pentathlon,2024,0,1,0,1,4,8
FRA,Marathon Swimming,2024,0,0,0,0,4,0
FRA,Judo,2024,15,2,6,23,28,208
FRA,Badminton,2024,0,0,0,0,10,0
FRA,Athletics,2024,0,1,0,1,105,8
FRA,Rhythmic Gymnastics,2024,0,0,0,0,6,0
FRA,Tennis,2024,0,0,0,0,18,0
FRA,Triathlon,2024,1,0,1,2,6,17
FRA,Beach Volleyball,2024,0,0,0,0,8,0
FRA,Boxing,2024,0,2,1,3,8,23
FRA,Breaking,2024,0,1,0,1,4,8
FRA,Trampoline Gymnastics,2024,0,0,0,0,2,0
FRA,Wrestling,2024,0,0,0,0,3,0
FRA,Artistic Swimming,2024,0,0,0,0,11,0
FRA,3x3 Basketball,2024,0,4,0,4,8,32
FRA,Water Polo,2024,0,0,0,0,26,0
FRA,Volleyball,2024,13,0,0,13,26,130
FRA,Handball,2024,0,17,0,17,33,136
FRA,Weightlifting,2024,0,0,0,0,4,0
FRA,Cycling BMX Racing,2024,1,1,1,3,6,25
FRA,Swimming,2024,4,1,7,12,78,97
FRA,"Cycling Road, Cycling Track",2024,0,0,0,0,2,0
FRA,Sailing,2024,0,1,2,3,14,22
FRA,Cycling BMX Freestyle,2024,0,0,1,1,2,7
FRA,Cycling Track,2024,1,0,0,1,32,10
FRA,Equestrian,2024,0,4,4,8,21,60
FRA,Cycling Road,2024,0,1,1,2,9,15
FRA,Rugby Sevens,2024,13,0,0,13,25,130
FRA,Taekwondo,2024,1,0,1,2,4,17
FRA,Canoe Sprint,2024,0,0,0,0,10,0
FRA,Rowing,2024,0,0,0,0,12,0
FRA,Football,2024,0,21,0,21,41,168
FRA,Canoe Slalom,2024,1,2,0,3,8,26
FRA,Table Tennis,2024,0,0,4,4,12,28
FRA,Fencing,2024,1,7,8,16,42,122
FRA,Artistic Gymnastics,2024,0,0,0,0,34,0
FRA,Diving,2024,0,0,0,0,10,0
FRA,Cycling Mountain Bike,2024,1,1,0,2,4,18
FRA,Sport Climbing,2024,0,0,0,0,7,0
FRA,Surfing,2024,1,0,1,2,4,17
FRA,Shooting,2024,0,1,0,1,26,8
FRA,Skateboarding,2024,0,0,0,0,7,0
FRA,Canoe Slalom,2020,0,0,0,0,4,0
FRA,Table Tennis,2020,0,0,0,0,12,0
FRA,Fencing,2020,5,8,1,14,30,121
FRA,Tennis,2020,0,0,0,0,20,0
FRA,Triathlon,2020,0,0,5,5,10,35
FRA,Judo,2020,12,3,3,18,24,165
FRA,Trampoline Gymnastics,2020,0,0,0,0,2,0
FRA,Athletics,2020,0,1,0,1,67,8
FRA,Boxing,2020,0,0,0,0,5,0
FRA,Modern Pentathlon,2020,0,0,0,0,4,0
FRA,Golf,2020,0,0,0,0,4,0
FRA,Marathon Swimming,2020,0,0,0,0,3,0
FRA,Karate,2020,1,0,0,1,3,10
FRA,3x3 Basketball,2020,0,0,0,0,4,0
FRA,Wrestling,2020,0,0,0,0,2,0
FRA,Badminton,2020,0,0,0,0,4,0
FRA,Volleyball,2020,12,0,0,12,12,120
FRA,Weightlifting,2020,0,0,0,0,4,0
FRA,Handball,2020,32,0,0,32,32,320
FRA,Basketball,2020,0,12,12,24,24,180
FRA,Cycling Mountain Bike,2020,0,0,0,0,4,0
FRA,Equestrian,2020,0,0,3,3,22,21
FRA,Surfing,2020,0,0,0,0,4,0
FRA,Sport Climbing,2020,0,0,0,0,4,0
FRA,Sailing,2020,0,2,2,4,14,30
FRA,Taekwondo,2020,0,0,1,1,2,7
FRA,Cycling Track,2020,0,0,7,7,29,49
FRA,Cycling BMX Freestyle,2020,0,0,0,0,1,0
FRA,Shooting,2020,1,0,0,1,13,10
FRA,Rugby Sevens,2020,0,13,0,13,13,104
FRA,Diving,2020,0,0,0,0,3,0
FRA,Cycling BMX Racing,2020,0,0,0,0,5,0
FRA,Cycling Road,2020,0,0,0,0,8,0
FRA,Rowing,2020,2,2,0,4,12,36
FRA,Canoe Sprint,2020,0,0,0,0,15,0
FRA,Football,2020,0,0,0,0,21,0
FRA,Swimming,2020,0,1,0,1,49,8
FRA,Skateboarding,2020,0,0,0,0,5,0
FRA,Archery,2020,0,0,0,0,9,0
FRA,Artistic Gymnastics,2020,0,0,0,0,33,0
FRA,Artistic Swimming,2020,0,0,0,0,2,0
FRA,Badminton,2016,0,0,0,0,2,0
FRA,Volleyball,2016,0,0,0,0,10,0
FRA,Wrestling,2016,0,0,0,0,2,0
FRA,Equestrianism,2016,8,1,0,9,24,88
FRA,Water Polo,2016,0,0,0,0,12,0
FRA,Basketball,2016,0,0,0,0,24,0
FRA,Weightlifting,2016,0,0,0,0,5,0
FRA,Handball,2016,0,31,0,31,31,248
FRA,Shooting,2016,0,1,1,2,14,15
FRA,Football,2016,0,0,0,0,17,0
FRA,Canoeing,2016,1,1,2,4,22,32
FRA,Rugby Sevens,2016,0,0,0,0,25,0
FRA,Rowing,2016,2,0,4,6,18,48
FRA,Synchronized Swimming,2016,0,0,0,0,2,0
FRA,Swimming,2016,0,7,1,8,54,63
FRA,Table Tennis,2016,0,0,0,0,6,0
FRA,Taekwondo,2016,0,1,0,1,4,8
FRA,Rhythmic Gymnastics,2016,0,0,0,0,1,0
FRA,Fencing,2016,4,4,1,9,31,79
FRA,Tennis,2016,0,0,0,0,17,0
