NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score
CHN,Wrestling,2024,0,1,4,5,12,36
CHN,3x3 Basketball,2024,0,0,0,0,8,0
CHN,Archery,2024,0,3,0,3,14,24
CHN,Basketball,2024,0,0,0,0,12,0
CHN,Beach Volleyball,2024,0,0,0,0,2,0
CHN,Cycling BMX Freestyle,2024,1,0,0,1,2,10
CHN,Cycling Road,2024,0,0,0,0,3,0
CHN,Cycling Track,2024,0,0,0,0,17,0
CHN,Cycling Mountain Bike,2024,0,0,0,0,2,0
CHN,Table Tennis,2024,10,1,0,11,12,108
CHN,Canoe Sprint,2024,4,0,0,4,22,40
CHN,Breaking,2024,0,0,1,1,3,7
CHN,Boxing,2024,3,2,0,5,8,46
CHN,Canoe Slalom,2024,0,0,0,0,5,0
CHN,Taekwondo,2024,0,1,1,2,6,15
CHN,Trampoline Gymnastics,2024,0,1,1,2,4,15
CHN,Tennis,2024,1,2,0,3,12,26
CHN,Rowing,2024,0,0,0,0,14,0
CHN,Sailing,2024,0,0,0,0,13,0
CHN,Rugby Sevens,2024,0,0,0,0,14,0
CHN,Rhythmic Gymnastics,2024,5,0,0,5,6,50
CHN,Modern Pentathlon,2024,0,0,0,0,3,0
CHN,Shooting,2024,6,2,4,12,33,104
CHN,Skateboarding,2024,0,0,0,0,4,0
CHN,Marathon Swimming,2024,0,0,0,0,1,0
CHN,Badminton,2024,4,5,0,9,16,80
CHN,Athletics,2024,1,1,2,4,59,32
CHN,Artistic Gymnastics,2024,2,9,2,13,74,106
CHN,Artistic Swimming,2024,11,0,0,11,11,110
CHN,Volleyball,2024,0,0,0,0,13,0
CHN,Triathlon,2024,0,0,0,0,1,0
CHN,Water Polo,2024,0,0,0,0,13,0
CHN,Weightlifting,2024,5,0,0,5,6,50
CHN,Surfing,2024,0,0,0,0,1,0
CHN,Sport Climbing,2024,0,2,0,2,7,16
CHN,Hockey,2024,0,17,0,17,17,136
CHN,Swimming,2024,6,8,22,36,85,278
CHN,Diving,2024,12,2,1,15,16,143
CHN,Equestrian,2024,0,0,0,0,2,0
CHN,Fencing,2024,0,0,0,0,24,0
CHN,Judo,2024,0,0,1,1,6,7
CHN,Golf,2024,0,0,1,1,4,7
CHN,Beach Volleyball,2020,0,0,0,0,4,0
CHN,Table Tennis,2020,8,4,0,12,12,112
CHN,Cycling Track,2020,3,0,0,3,10,30
CHN,Trampoline Gymnastics,2020,1,2,0,3,4,26
CHN,Cycling Mountain Bike,2020,0,0,0,0,2,0
CHN,Basketball,2020,0,0,0,0,12,0
CHN,Triathlon,2020,0,0,0,0,1,0
CHN,Football,2020,0,0,0,0,22,0
CHN,Fencing,2020,1,0,0,1,24,10
CHN,Diving,2020,10,6,0,16,16,148
CHN,Equestrian,2020,0,0,0,0,15,0
CHN,Golf,2020,0,0,0,0,4,0
CHN,Hockey,2020,0,0,0,0,18,0
CHN,Judo,2020,0,0,0,0,6,0
CHN,Cycling Road,2020,0,0,0,0,2,0
CHN,Tennis,2020,0,0,0,0,6,0
CHN,Taekwondo,2020,0,0,1,1,6,7
CHN,Canoe Sprint,2020,2,3,0,5,25,44
CHN,Archery,2020,0,0,0,0,14,0
CHN,3x3 Basketball,2020,0,0,4,4,8,28
CHN,Wrestling,2020,0,2,2,4,11,30
CHN,Canoe Slalom,2020,0,0,0,0,3,0
CHN,Boxing,2020,0,2,0,2,6,16
CHN,Modern Pentathlon,2020,0,0,0,0,4,0
CHN,Weightlifting,2020,7,1,0,8,8,78
CHN,Volleyball,2020,0,0,0,0,12,0
CHN,Water Polo,2020,0,0,0,0,13,0
CHN,Artistic Gymnastics,2020,3,3,5,11,61,89
CHN,Artistic Swimming,2020,0,10,0,10,10,80
CHN,Athletics,2020,2,2,1,5,59,43
CHN,Badminton,2020,3,7,0,10,14,86
CHN,Sailing,2020,1,0,1,2,12,17
CHN,Rhythmic Gymnastics,2020,0,0,0,0,5,0
CHN,Marathon Swimming,2020,0,0,0,0,1,0
CHN,Karate,2020,0,1,1,2,2,15
CHN,Shooting,2020,6,1,6,13,31,110
CHN,Skateboarding,2020,0,0,0,0,2,0
CHN,Rugby Sevens,2020,0,0,0,0,13,0
CHN,Rowing,2020,4,0,11,15,28,117
CHN,Swimming,2020,8,5,1,14,66,127
CHN,Sport Climbing,2020,0,0,0,0,2,0
CHN,Volleyball,2016,12,0,0,12,12,120
CHN,Weightlifting,2016,5,2,0,7,10,66
CHN,Water Polo,2016,0,0,0,0,13,0
CHN,Rowing,2016,0,0,3,3,17,21
CHN,Archery,2016,0,0,0,0,12,0
CHN,Wrestling,2016,0,0,2,2,13,14
CHN,Taekwondo,2016,2,0,0,2,4,20
CHN,Boxing,2016,0,1,3,4,11,29
CHN,Table Tennis,2016,8,2,0,10,10,96
CHN,Tennis,2016,0,0,0,0,8,0
CHN,Cycling,2016,2,0,0,2,18,20
CHN,Basketball,2016,0,0,0,0,24,0
CHN,Canoeing,2016,0,0,0,0,12,0
CHN,Beach Volleyball,2016,0,0,0,0,2,0
CHN,Athletics,2016,2,2,2,6,57,50
CHN,Badminton,2016,3,0,2,5,16,44
CHN,Modern Pentathlon,2016,0,0,0,0,4,0
CHN,Rhythmic Gymnastics,2016,0,0,0,0,6,0
CHN,Shooting,2016,1,2,4,7,25,54
CHN,Sailing,2016,0,1,0,1,8,8
CHN,Gymnastics,2016,0,0,10,10,45,70
CHN,Hockey,2016,0,0,0,0,17,0
CHN,Synchronized Swimming,2016,0,11,0,11,11,88
CHN,Judo,2016,0,0,2,2,8,14
CHN,Equestrianism,2016,0,0,0,0,1,0
CHN,Swimming,2016,1,2,3,6,75,47
CHN,Diving,2016,10,2,2,14,16,130
CHN,Fencing,2016,0,4,1,5,19,39
CHN,Golf,2016,0,0,1,1,4,7
CHN,Football,2016,0,0,0,0,15,0
CHN,Triathlon,2016,0,0,0,0,2,0
CHN,Trampolining,2016,0,1,2,3,4,22
CHN,Wrestling,2012,0,1,0,1,7,8
CHN,Canoeing,2012,0,0,0,0,21,0
CHN,Trampolining,2012,1,1,2,4,4,32
CHN,Archery,2012,0,3,1,4,12,31
CHN,Badminton,2012,8,3,1,12,18,111
CHN,Volleyball,2012,0,0,0,0,12,0
CHN,Weightlifting,2012,5,2,0,7,10,66
CHN,Modern Pentathlon,2012,0,1,0,1,4,8
CHN,Sailing,2012,1,0,0,1,9,10
CHN,Rowing,2012,0,2,0,2,18,16
CHN,Rhythmic Gymnastics,2012,0,0,0,0,1,0
CHN,Water Polo,2012,0,0,0,0,13,0
