NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score
USA,Archery,2024,0,1,2,3,9,22
USA,Wrestling,2024,2,2,3,7,16,57
USA,3x3 Basketball,2024,0,0,4,4,8,28
USA,Artistic Swimming,2024,0,9,0,9,11,72
USA,Artistic Gymnastics,2024,7,1,9,17,76,141
USA,Fencing,2024,5,1,1,7,35,65
USA,Judo,2024,0,0,0,0,4,0
USA,Modern Pentathlon,2024,0,0,0,0,1,0
USA,Marathon Swimming,2024,0,0,0,0,2,0
USA,"Marathon Swimming, Swimming",2024,0,0,0,0,3,0
USA,Breaking,2024,0,0,1,1,4,7
USA,Boxing,2024,0,0,1,1,8,7
USA,Rhythmic Gymnastics,2024,0,0,0,0,1,0
USA,Rugby Sevens,2024,0,0,12,12,26,84
USA,Trampoline Gymnastics,2024,0,0,0,0,2,0
USA,Equestrian,2024,0,4,0,4,22,32
USA,Tennis,2024,0,2,2,4,18,30
USA,Taekwondo,2024,0,0,1,1,4,7
USA,Diving,2024,0,2,0,2,14,16
USA,Rowing,2024,4,0,9,13,42,103
USA,Beach Volleyball,2024,0,0,0,0,8,0
USA,Basketball,2024,24,0,0,24,24,240
USA,Triathlon,2024,0,0,0,0,4,0
USA,Sailing,2024,0,0,2,2,13,14
USA,Canoe Sprint,2024,0,1,0,1,5,8
USA,Cycling BMX Racing,2024,0,0,0,0,7,0
USA,Canoe Slalom,2024,0,0,1,1,5,7
USA,Table Tennis,2024,0,0,0,0,6,0
USA,Sport Climbing,2024,0,1,1,2,8,15
USA,Swimming,2024,27,35,7,69,111,599
USA,Cycling Mountain Bike,2024,0,1,0,1,4,8
USA,Skateboarding,2024,0,2,1,3,12,23
USA,Shooting,2024,1,4,1,6,30,49
USA,Surfing,2024,1,0,0,1,5,10
USA,"Cycling Road, Triathlon",2024,0,0,0,0,2,0
USA,"Cycling Road, Cycling Track",2024,0,0,0,0,5,0
USA,Athletics,2024,33,16,9,58,154,521
USA,Water Polo,2024,0,0,13,13,26,91
USA,Golf,2024,1,0,0,1,7,10
USA,Weightlifting,2024,1,0,1,2,5,17
USA,Hockey,2024,0,0,0,0,16,0
USA,Badminton,2024,0,0,0,0,8,0
USA,Volleyball,2024,0,13,13,26,26,195
USA,Football,2024,20,0,0,20,39,200
USA,Cycling BMX Freestyle,2024,0,1,0,1,4,8
USA,Cycling Road,2024,0,0,0,0,5,0
USA,Cycling Track,2024,5,0,0,5,9,50
USA,Diving,2020,0,4,1,5,14,39
USA,Triathlon,2020,0,5,1,6,10,47
USA,Beach Volleyball,2020,2,0,0,2,8,20
USA,Rugby Sevens,2020,0,0,0,0,26,0
USA,Basketball,2020,24,0,0,24,24,240
USA,Taekwondo,2020,1,0,0,1,2,10
USA,Equestrian,2020,0,7,0,7,22,56
USA,Rowing,2020,0,0,0,0,37,0
USA,Artistic Gymnastics,2020,2,5,2,9,67,74
USA,Modern Pentathlon,2020,0,0,0,0,2,0
USA,Fencing,2020,1,0,4,5,42,38
USA,Wrestling,2020,3,2,4,9,15,74
USA,3x3 Basketball,2020,4,0,0,4,4,40
USA,Badminton,2020,0,0,0,0,4,0
USA,Baseball/Softball,2020,0,39,0,39,39,312
USA,Athletics,2020,21,17,14,52,160,444
USA,Football,2020,0,0,22,22,22,154
USA,Golf,2020,2,0,0,2,8,20
USA,Cycling BMX Freestyle,2020,0,1,0,1,4,8
USA,Shooting,2020,3,3,2,8,36,68
USA,Sport Climbing,2020,0,1,0,1,4,8
USA,Sailing,2020,0,0,0,0,13,0
USA,Cycling Mountain Bike,2020,0,0,0,0,4,0
USA,Volleyball,2020,12,0,0,12,24,120
USA,Weightlifting,2020,0,1,1,2,8,15
USA,Water Polo,2020,13,0,0,13,26,130
USA,Table Tennis,2020,0,0,0,0,10,0
USA,Swimming,2020,22,22,15,59,105,501
USA,Surfing,2020,1,0,0,1,4,10
USA,Skateboarding,2020,0,0,2,2,12,14
USA,Boxing,2020,0,3,1,4,10,31
USA,Rhythmic Gymnastics,2020,0,0,0,0,7,0
USA,Artistic Swimming,2020,0,0,0,0,2,0
USA,Archery,2020,0,0,0,0,14,0
USA,Marathon Swimming,2020,0,0,0,0,3,0
USA,Judo,2020,0,0,0,0,4,0
USA,Karate,2020,0,0,1,1,4,7
USA,Canoe Slalom,2020,0,0,0,0,4,0
USA,Cycling Road,2020,0,0,0,0,10,0
USA,Cycling BMX Racing,2020,0,0,0,0,5,0
USA,Cycling Track,2020,1,0,5,6,17,45
USA,Tennis,2020,0,0,0,0,17,0
USA,Canoe Sprint,2020,1,0,0,1,1,10
USA,Trampoline Gymnastics,2020,0,0,0,0,2,0
USA,Wrestling,2016,2,0,1,3,14,27
USA,Taekwondo,2016,0,0,1,1,4,7
USA,Diving,2016,0,4,1,5,14,39
USA,Rowing,2016,9,1,0,10,41,98
USA,Rugby Sevens,2016,0,0,0,0,25,0
USA,Trampolining,2016,0,0,0,0,2,0
USA,Beach Volleyball,2016,0,0,2,2,8,14
USA,Triathlon,2016,1,0,0,1,6,10
USA,Rhythmic Gymnastics,2016,0,0,0,0,6,0
USA,Basketball,2016,24,0,0,24,24,240
USA,Archery,2016,0,3,1,4,7,31
USA,Judo,2016,1,1,0,2,6,18
USA,Hockey,2016,0,0,0,0,16,0
USA,Equestrianism,2016,0,4,5,9,24,67
USA,Water Polo,2016,13,0,0,13,26,130
USA,Fencing,2016,0,2,8,10,26,72
USA,Modern Pentathlon,2016,0,0,0,0,3,0
USA,Shooting,2016,1,0,2,3,26,24
USA,Cycling,2016,2,6,0,8,25,68
USA,Boxing,2016,1,1,1,3,8,25
USA,Sailing,2016,0,0,1,1,15,7
USA,Tennis,2016,2,2,2,6,20,50
USA,Synchronized Swimming,2016,0,0,0,0,2,0
USA,Swimming,2016,48,14,9,71,99,655
USA,Table Tennis,2016,0,0,0,0,10,0
USA,Gymnastics,2016,8,6,2,16,49,142
USA,Weightlifting,2016,0,0,1,1,4,7
USA,Canoeing,2016,0,0,0,0,7,0
USA,Football,2016,0,0,0,0,17,0
USA,Volleyball,2016,0,0,24,24,24,168
USA,Golf,2016,0,0,1,1,7,7
USA,Badminton,2016,0,0,0,0,8,0
USA,Athletics,2016,27,10,9,46,146,413
USA,Badminton,2012,0,0,0,0,3,0
USA,Football,2012,17,0,0,17,17,170
USA,Volleyball,2012,0,12,0,12,24,96
USA,Athletics,2012,19,16,7,42,141,367
USA,Water Polo,2012,12,0,0,12,25,120
USA,Judo,2012,1,0,1,2,5,17
USA,Archery,2012,0,3,0,3,12,24
USA,Wrestling,2012,2,0,2,4,17,34
USA,Fencing,2012,0,0,4,4,32,28
USA,Equestrianism,2012,0,0,0,0,25,0
USA,Modern Pentathlon,2012,0,0,0,0,3,0
USA,Basketball,2012,24,0,0,24,24,240
USA,Rowing,2012,9,0,8,17,44,146
USA,Rhythmic Gymnastics,2012,0,0,0,0,1,0
USA,Diving,2012,1,2,4,7,14,54
USA,Sailing,2012,0,0,0,0,16,0
USA,Taekwondo,2012,0,0,2,2,4,14
USA,Table Tennis,2012,0,0,0,0,6,0
USA,Tennis,2012,5,0,2,7,20,64
USA,Boxing,2012,1,0,1,2,12,17
USA,Shooting,2012,3,0,1,4,25,37
USA,Cycling,2012,1,5,1,7,28,57
USA,Swimming,2012,41,16,11,68,97,615
USA,Synchronized Swimming,2012,0,0,0,0,2,0
USA,Canoeing,2012,0,0,0,0,8,0
USA,Weightlifting,2012,0,0,0,0,3,0
USA,Gymnastics,2012,7,1,2,10,50,92
USA,Hockey,2012,0,0,0,0,16,0
USA,Triathlon,2012,0,0,0,0,5,0
USA,Trampolining,2012,0,0,0,0,2,0
USA,Beach Volleyball,2012,2,2,0,4,8,36
USA,Shooting,2008,2,2,2,6,27,50
USA,Beach Volleyball,2008,4,0,0,4,8,40
USA,Triathlon,2008,0,0,0,0,6,0
USA,Diving,2008,0,0,0,0,16,0
USA,Trampolining,2008,0,0,0,0,2,0
USA,Sailing,2008,1,1,0,2,18,18
USA,Rowing,2008,9,1,9,19,46,161
USA,Cycling,2008,1,1,3,5,32,39
USA,Wrestling,2008,1,0,2,3,16,24
USA,Fencing,2008,1,8,4,13,22,102
USA,Equestrianism,2008,4,1,1,6,24,55
USA,Modern Pentathlon,2008,0,0,0,0,4,0
USA,Basketball,2008,24,0,0,24,24,240
USA,Swimming,2008,31,21,16,68,97,590
USA,Table Tennis,2008,0,0,0,0,7,0
USA,Baseball,2008,0,0,24,24,24,168
USA,Badminton,2008,0,0,0,0,6,0
USA,Football,2008,17,0,0,17,33,170
USA,Hockey,2008,0,0,0,0,16,0
USA,Athletics,2008,16,10,6,32,138,282
USA,Volleyball,2008,12,12,0,24,24,216
USA,Water Polo,2008,0,26,0,26,26,208
USA,Judo,2008,0,0,1,1,10,7
USA,Archery,2008,0,0,0,0,8,0
USA,Synchronized Swimming,2008,0,0,0,0,11,0
USA,Softball,2008,0,15,0,15,15,120
USA,Canoeing,2008,0,0,0,0,8,0
USA,Weightlifting,2008,0,0,0,0,6,0
USA,Gymnastics,2008,2,11,7,20,63,157
USA,Taekwondo,2008,0,1,2,3,4,22
USA,Boxing,2008,0,0,1,1,8,7
USA,Tennis,2008,2,0,2,4,14,34
USA,Wrestling,2004,1,3,2,6,17,48
USA,Archery,2004,0,0,0,0,12,0
USA,Basketball,2004,12,0,12,24,24,204
USA,Fencing,2004,1,0,1,2,24,17
USA,Triathlon,2004,0,0,1,1,6,7
USA,Beach Volleyball,2004,2,0,2,4,8,34
USA,Rhythmic Gymnastics,2004,0,0,0,0,1,0
USA,Diving,2004,0,0,0,0,14,0
USA,Softball,2004,15,0,0,15,15,150
USA,Rowing,2004,9,9,0,18,45,162
USA,Athletics,2004,18,15,5,38,133,335
USA,Volleyball,2004,0,0,0,0,24,0
USA,Football,2004,17,0,0,17,17,170
USA,Water Polo,2004,0,0,12,12,25,84
USA,Badminton,2004,0,0,0,0,2,0
USA,Judo,2004,0,0,1,1,12,7
USA,Equestrianism,2004,4,2,9,15,26,119
USA,Modern Pentathlon,2004,0,0,0,0,4,0
USA,Taekwondo,2004,1,1,0,2,2,18
USA,Tennis,2004,0,1,0,1,15,8
USA,Boxing,2004,1,0,1,2,9,17
USA,Table Tennis,2004,0,0,0,0,11,0
USA,Shooting,2004,2,1,0,3,30,28
USA,Swimming,2004,30,22,13,65,95,567
USA,Synchronized Swimming,2004,0,0,11,11,11,77
USA,Canoeing,2004,0,1,0,1,23,8
USA,Cycling,2004,0,2,0,2,23,16
USA,Weightlifting,2004,0,0,0,0,5,0
USA,Gymnastics,2004,2,16,1,19,74,155
USA,Sailing,2004,2,2,0,4,18,36
USA,Trampolining,2004,0,0,0,0,1,0
USA,Archery,2000,0,1,3,4,12,29
USA,Judo,2000,0,0,0,0,14,0
USA,Wrestling,2000,2,2,3,7,16,57
USA,Fencing,2000,0,0,0,0,11,0
USA,Basketball,2000,23,0,0,23,23,230
USA,Football,2000,0,13,0,13,30,104
USA,Athletics,2000,16,4,8,28,135,248
USA,Baseball,2000,24,0,0,24,24,240
USA,Water Polo,2000,0,13,0,13,26,104
USA,Badminton,2000,0,0,0,0,1,0
USA,Volleyball,2000,0,0,0,0,24,0
USA,Modern Pentathlon,2000,0,1,0,1,4,8
USA,Equestrianism,2000,1,0,8,9,23,66
USA,Trampolining,2000,0,0,0,0,1,0
USA,Sailing,2000,2,4,2,8,18,66
USA,Swimming,2000,37,18,11,66,91,591
USA,Canoeing,2000,0,0,0,0,19,0
USA,Synchronized Swimming,2000,0,0,0,0,11,0
USA,Weightlifting,2000,1,0,1,2,6,17
USA,Gymnastics,2000,0,0,6,6,74,42
USA,Cycling,2000,1,1,0,2,36,18
USA,Table Tennis,2000,0,0,0,0,13,0
USA,Softball,2000,15,0,0,15,15,150
USA,Boxing,2000,0,2,2,4,12,30
USA,Shooting,2000,1,0,2,3,34,24
USA,Diving,2000,1,0,0,1,14,10
USA,Triathlon,2000,0,0,0,0,6,0
USA,Rowing,2000,0,2,4,6,48,44
USA,Taekwondo,2000,1,0,0,1,4,10
USA,Tennis,2000,3,0,1,4,11,37
USA,Beach Volleyball,2000,2,0,0,2,8,20
USA,Hockey,1996,0,0,0,0,32,0
USA,Athletics,1996,25,9,5,39,137,357
USA,Football,1996,15,0,0,15,30,150
USA,Baseball,1996,0,0,20,20,20,140
USA,Water Polo,1996,0,0,0,0,13,0
USA,Badminton,1996,0,0,0,0,4,0
USA,Volleyball,1996,0,0,0,0,23,0
USA,Cycling,1996,0,2,1,3,28,23
USA,Weightlifting,1996,0,0,0,0,10,0
USA,Gymnastics,1996,8,2,1,11,91,103
USA,Wrestling,1996,3,4,1,8,20,69
USA,Synchronized Swimming,1996,10,0,0,10,10,100
USA,Softball,1996,15,0,0,15,15,150
USA,Swimming,1996,47,11,2,60,92,572
USA,Handball,1996,0,0,0,0,32,0
USA,Table Tennis,1996,0,0,0,0,8,0
USA,Tennis,1996,4,0,0,4,10,40
USA,Sailing,1996,0,0,4,4,16,28
USA,Boxing,1996,1,0,5,6,12,45
USA,Shooting,1996,1,1,1,3,31,25
USA,Canoeing,1996,0,1,0,1,28,8
USA,Rowing,1996,0,8,4,12,46,92
USA,Equestrianism,1996,0,8,5,13,23,99
USA,Basketball,1996,24,0,0,24,24,240
USA,Beach Volleyball,1996,2,2,0,4,12,36
USA,Modern Pentathlon,1996,0,0,0,0,1,0
USA,Rhythmic Gymnastics,1996,0,0,0,0,7,0
USA,Diving,1996,0,0,2,2,8,14
USA,Fencing,1996,0,0,0,0,30,0
USA,Judo,1996,0,0,1,1,14,7
USA,Archery,1996,4,0,0,4,12,40
USA,Archery,1992,0,0,0,0,12,0
USA,Basketball,1992,12,0,12,24,24,204
USA,Volleyball,1992,0,0,24,24,24,168
USA,Gymnastics,1992,1,2,8,11,84,82
USA,Handball,1992,0,0,0,0,13,0
USA,Rhythmic Gymnastics,1992,0,0,0,0,2,0
USA,Modern Pentathlon,1992,0,0,0,0,6,0
USA,Boxing,1992,1,1,1,3,12,25
USA,Tennis,1992,3,0,1,4,10,37
USA,Football,1992,0,0,0,0,17,0
USA,Judo,1992,0,1,0,1,13,8
USA,Cycling,1992,0,0,2,2,20,14
USA,Table Tennis,1992,0,0,0,0,9,0
USA,Fencing,1992,0,0,0,0,22,0
USA,Baseball,1992,0,0,0,0,20,0
USA,Wrestling,1992,3,3,2,8,20,68
USA,Weightlifting,1992,0,0,0,0,10,0
USA,Athletics,1992,25,13,10,48,136,424
USA,Water Polo,1992,0,0,0,0,13,0
USA,Shooting,1992,1,1,0,2,28,18
USA,Swimming,1992,35,9,12,56,86,506
USA,Equestrianism,1992,0,0,5,5,24,35
USA,Sailing,1992,2,11,3,16,17,129
USA,Synchronized Swimming,1992,3,0,0,3,5,30
USA,Canoeing,1992,2,0,2,4,38,34
USA,Rowing,1992,0,8,2,10,52,78
USA,Diving,1992,1,1,1,3,8,25
USA,Badminton,1992,0,0,0,0,9,0
USA,Canoeing,1988,3,0,0,3,23,30
USA,Rhythmic Gymnastics,1988,0,0,0,0,2,0
USA,Tennis,1988,4,1,2,7,10,62
USA,Modern Pentathlon,1988,0,0,0,0,6,0
USA,Rowing,1988,0,5,9,14,53,103
USA,Table Tennis,1988,0,0,0,0,5,0
USA,Diving,1988,2,1,2,5,8,42
USA,Athletics,1988,22,12,6,40,135,358
USA,Wrestling,1988,2,1,3,6,20,49
USA,Weightlifting,1988,0,0,0,0,10,0
USA,Sailing,1988,2,5,3,10,15,81
USA,Equestrianism,1988,0,5,0,5,24,40
